defect_id,date,line,station,sku,defect_code,severity,ppm,shift,operator_id,root_cause,status
DEF-005114,2026-01-22,Line-B,Paint,MX-100,TORQUE-LOW,Minor,2585,A,OP-672,Torque gun firmware,CAPA-Issued
DEF-005115,2026-04-20,Line-B,Assembly-1,MX-400 SUV,TORQUE-LOW,Major,3163,C,OP-244,Unknown — under investigation,Contained
DEF-005116,2026-04-10,Line-D,Assembly-2,MX-100,TORQUE-LOW,Major,1552,B,OP-358,Tooling slip,Contained
DEF-005117,2026-02-27,Line-D,Assembly-1,MX-300,HARNESS-CHAFE,Critical,4160,B,OP-932,Tooling slip,Contained
DEF-005118,2026-01-19,Line-A,Paint,MX-200,WELD-PORE,Major,1826,C,OP-232,Torque gun firmware,CAPA-Issued
DEF-005119,2026-04-18,Line-A,Paint,MX-400 SUV,SCRATCH,Critical,947,B,OP-801,Robot calibration drift,CAPA-Issued
DEF-005120,2026-02-14,Line-A,Assembly-1,MX-200LR,PAINT-RUN,Major,2047,B,OP-994,Tooling slip,Open
DEF-005121,2026-02-07,Line-D,Welding,MX-400 SUV,DENT,Critical,2892,A,OP-417,Stamping die wear,Open
DEF-005122,2026-03-18,Line-C,QC-Final,MX-200LR,BMS-FW,Minor,4433,B,OP-195,Operator error,Open
DEF-005123,2026-02-25,Line-B,QC-Final,MX-200,HARNESS-CHAFE,Major,505,A,OP-696,Supplier defect (Bosch),Contained
DEF-005124,2026-04-16,Line-D,Assembly-1,MX-300,TORQUE-LOW,Critical,2221,A,OP-994,Humidity > spec,Closed
DEF-005125,2026-03-15,Line-A,Battery-Pack,MX-100,BOLT-MISSING,Critical,2701,C,OP-230,Supplier defect (Bosch),Open
DEF-005126,2026-04-07,Line-C,Paint,MX-200LR,HARNESS-CHAFE,Major,1755,B,OP-639,Torque gun firmware,CAPA-Issued
DEF-005127,2026-03-22,Line-D,Stamping,MX-100,WELD-PORE,Minor,396,A,OP-932,Tooling slip,Open
DEF-005128,2026-04-07,Line-C,Stamping,MX-200LR,TORQUE-LOW,Minor,2492,B,OP-994,Supplier defect (Bosch),Contained
DEF-005129,2026-01-13,Line-A,QC-Final,MX-100,BMS-FW,Major,1938,A,OP-417,Tooling slip,Open
DEF-005130,2026-02-19,Line-D,Stamping,MX-100,GAP-OOS,Critical,4275,C,OP-186,Paint nozzle clog,CAPA-Issued
DEF-005131,2026-02-16,Line-A,QC-Final,MX-100,PAINT-RUN,Major,1895,A,OP-825,Supplier defect (Bosch),Closed
DEF-005132,2026-02-13,Line-A,Assembly-2,MX-200,TORQUE-LOW,Minor,1190,B,OP-417,Stamping die wear,Contained
DEF-005133,2026-04-20,Line-A,Welding,MX-100,BOLT-MISSING,Minor,1799,C,OP-485,Supplier defect (Bosch),CAPA-Issued
DEF-005134,2026-03-26,Line-A,Welding,MX-400 SUV,TORQUE-LOW,Major,2049,C,OP-786,Operator error,Open
DEF-005135,2026-03-07,Line-D,Paint,MX-100,SCRATCH,Minor,4194,A,OP-819,Humidity > spec,Open
DEF-005136,2026-02-16,Line-A,Paint,MX-200LR,DENT,Critical,601,A,OP-485,Humidity > spec,Closed
DEF-005137,2026-02-25,Line-A,Stamping,MX-200LR,BOLT-MISSING,Minor,617,A,OP-972,Robot calibration drift,CAPA-Issued
DEF-005138,2026-03-21,Line-D,Stamping,MX-400 SUV,SCRATCH,Major,3423,C,OP-533,Torque gun firmware,Closed
DEF-005139,2026-01-10,Line-B,Assembly-2,MX-200LR,PAINT-RUN,Minor,4208,B,OP-761,Paint nozzle clog,Closed
DEF-005140,2026-04-24,Line-A,Assembly-1,MX-100,GAP-OOS,Minor,494,B,OP-533,Robot calibration drift,Closed
DEF-005141,2026-02-04,Line-A,Welding,MX-300,WELD-PORE,Critical,1144,B,OP-856,Unknown — under investigation,Closed
DEF-005142,2026-02-12,Line-A,Battery-Pack,MX-100,TORQUE-LOW,Critical,2221,B,OP-436,Operator error,Open
DEF-005143,2026-03-23,Line-D,Assembly-2,MX-200LR,DENT,Major,651,A,OP-819,Torque gun firmware,Closed
DEF-005144,2026-02-09,Line-A,Stamping,MX-100,PAINT-RUN,Minor,964,A,OP-972,Tooling slip,Closed
DEF-005145,2026-04-05,Line-D,Welding,MX-200LR,TORQUE-LOW,Critical,309,A,OP-910,Supplier defect (Bosch),Closed
DEF-005146,2026-01-19,Line-A,Welding,MX-200,BATT-LEAK,Critical,998,C,OP-972,Humidity > spec,Open
DEF-005147,2026-04-28,Line-A,Assembly-2,MX-300,BMS-FW,Major,2565,A,OP-672,Stamping die wear,Closed
DEF-005148,2026-03-24,Line-C,Assembly-2,MX-300,DENT,Major,2007,A,OP-801,Stamping die wear,Contained
DEF-005149,2026-01-14,Line-C,QC-Final,MX-100,WELD-PORE,Critical,1928,B,OP-358,Humidity > spec,Closed
DEF-005150,2026-01-07,Line-D,Stamping,MX-200,SCRATCH,Major,1971,C,OP-501,Paint nozzle clog,Open
DEF-005151,2026-02-28,Line-C,Assembly-1,MX-100,SCRATCH,Critical,3403,C,OP-253,Unknown — under investigation,Contained
DEF-005152,2026-04-03,Line-B,Welding,MX-200LR,DENT,Major,530,B,OP-825,Humidity > spec,Closed
DEF-005153,2026-03-15,Line-B,Welding,MX-400 SUV,BMS-FW,Minor,1933,A,OP-696,Paint nozzle clog,Contained
DEF-005154,2026-04-15,Line-C,Battery-Pack,MX-200,BATT-LEAK,Minor,3350,B,OP-709,Tooling slip,Closed
DEF-005155,2026-01-03,Line-A,Welding,MX-200LR,TORQUE-LOW,Critical,2512,A,OP-994,Stamping die wear,Closed
DEF-005156,2026-04-17,Line-B,Stamping,MX-300,WELD-PORE,Major,2468,B,OP-639,Unknown — under investigation,Contained
DEF-005157,2026-01-15,Line-A,Stamping,MX-200,PAINT-RUN,Minor,1165,A,OP-458,Humidity > spec,Closed
DEF-005158,2026-01-19,Line-A,Stamping,MX-200,DENT,Minor,2140,C,OP-932,Torque gun firmware,Open
DEF-005159,2026-03-04,Line-B,Assembly-2,MX-300,WELD-PORE,Minor,3796,C,OP-758,Tooling slip,Open
DEF-005160,2026-04-22,Line-B,Welding,MX-200LR,HARNESS-CHAFE,Major,1435,B,OP-932,Torque gun firmware,Open
