alert_id,ts,source,src_ip,dst_ip,mitre_technique,technique_name,severity,asset_criticality,asset_class,status
ALT-009034,2026-04-28T03:30:00,Okta-IdP,10.36.241.228,50.61.195.136,T1059.001,PowerShell,P4,LOW,LINUX-SVR,TRIAGE
ALT-009035,2026-03-11T13:36:00,Okta-IdP,10.73.161.221,184.92.41.125,T1003,OS Credential Dumping,P2,HIGH,JUMPBOX,NEW
ALT-009036,2026-03-15T08:13:00,Email-Defender,10.81.250.202,196.45.66.158,T1078,Valid Accounts,P4,CRITICAL,K8S-NODE,BENIGN
ALT-009037,2026-04-01T01:34:00,EDR-Crowdstrike,10.191.7.229,83.97.9.174,T1190,Exploit Public-Facing App,P2,MED,JUMPBOX,ESCALATED
ALT-009038,2026-04-05T03:24:00,Okta-IdP,10.156.85.17,211.23.152.243,T1027,Obfuscated Files,P4,HIGH,K8S-NODE,CLOSED
ALT-009039,2026-03-11T15:22:00,Cloudtrail-AWS,10.84.206.5,59.114.67.55,T1190,Exploit Public-Facing App,P1,MED,WIN-LAPTOP,ESCALATED
ALT-009040,2026-05-21T01:24:00,EDR-Crowdstrike,10.24.24.170,28.10.24.177,T1486,Data Encrypted for Impact,P4,CRITICAL,K8S-NODE,NEW
ALT-009041,2026-05-09T15:44:00,Linux-Auditd,10.105.4.78,108.51.138.160,T1078,Valid Accounts,P2,CRITICAL,WIN-LAPTOP,CONTAINED
ALT-009042,2026-05-20T03:18:00,Linux-Auditd,10.54.254.51,156.102.134.213,T1110,Brute Force,P2,HIGH,JUMPBOX,BENIGN
ALT-009043,2026-04-06T01:35:00,EDR-Crowdstrike,10.106.246.85,61.1.6.172,T1003,OS Credential Dumping,P1,CRITICAL,LINUX-SVR,NEW
ALT-009044,2026-05-03T23:46:00,EDR-Crowdstrike,10.131.118.117,76.135.237.13,T1110,Brute Force,P2,LOW,MAC-LAPTOP,ESCALATED
ALT-009045,2026-05-11T13:47:00,Okta-IdP,10.48.23.3,219.70.87.85,T1110,Brute Force,P4,HIGH,JUMPBOX,NEW
ALT-009046,2026-04-27T10:11:00,O365-AlertCenter,10.205.204.247,117.139.197.177,T1110,Brute Force,P4,CRITICAL,JUMPBOX,TRIAGE
ALT-009047,2026-03-05T22:46:00,Linux-Auditd,10.81.53.107,152.247.224.47,T1059.001,PowerShell,P4,HIGH,DC-SERVER,NEW
ALT-009048,2026-05-27T23:57:00,Okta-IdP,10.247.249.29,106.225.23.17,T1078,Valid Accounts,P3,LOW,JUMPBOX,CLOSED
ALT-009049,2026-05-25T23:36:00,Cloudtrail-AWS,10.114.173.133,134.48.221.170,T1021.001,RDP,P2,CRITICAL,MAC-LAPTOP,CLOSED
ALT-009050,2026-05-21T12:09:00,Firewall-Palo,10.27.5.165,41.240.253.223,T1027,Obfuscated Files,P1,CRITICAL,MAC-LAPTOP,TRIAGE
ALT-009051,2026-04-09T01:32:00,O365-AlertCenter,10.193.206.210,61.40.235.114,T1190,Exploit Public-Facing App,P4,LOW,K8S-NODE,BENIGN
ALT-009052,2026-04-04T15:47:00,Linux-Auditd,10.52.206.106,10.0.46.203,T1059.001,PowerShell,P3,MED,JUMPBOX,CLOSED
ALT-009053,2026-04-11T11:52:00,Email-Defender,10.114.232.85,144.242.186.184,T1059.001,PowerShell,P1,LOW,JUMPBOX,TRIAGE
ALT-009054,2026-03-11T11:53:00,Cloudtrail-AWS,10.191.54.12,43.252.71.211,T1486,Data Encrypted for Impact,P4,LOW,MAC-LAPTOP,CONTAINED
ALT-009055,2026-03-07T03:59:00,O365-AlertCenter,10.110.234.212,201.97.173.28,T1041,Exfil over C2,P4,LOW,JUMPBOX,CLOSED
ALT-009056,2026-05-04T14:29:00,Linux-Auditd,10.68.255.2,136.24.221.215,T1021.001,RDP,P4,MED,JUMPBOX,CONTAINED
ALT-009057,2026-03-24T04:06:00,Okta-IdP,10.164.196.108,156.127.140.102,T1041,Exfil over C2,P3,CRITICAL,LINUX-SVR,TRIAGE
ALT-009058,2026-04-20T22:56:00,Linux-Auditd,10.153.160.183,189.111.102.54,T1027,Obfuscated Files,P3,HIGH,JUMPBOX,TRIAGE
ALT-009059,2026-05-21T05:32:00,Cloudtrail-AWS,10.165.59.195,91.245.213.173,T1027,Obfuscated Files,P3,CRITICAL,WIN-LAPTOP,CONTAINED
ALT-009060,2026-03-01T12:09:00,Okta-IdP,10.28.102.69,193.82.146.175,T1059.001,PowerShell,P2,LOW,JUMPBOX,ESCALATED
ALT-009061,2026-03-25T17:02:00,Linux-Auditd,10.231.52.158,223.114.199.61,T1566.001,Spearphishing Attachment,P3,LOW,K8S-NODE,BENIGN
ALT-009062,2026-04-26T21:20:00,Firewall-Palo,10.27.6.191,65.103.226.213,T1027,Obfuscated Files,P3,MED,JUMPBOX,TRIAGE
ALT-009063,2026-04-15T05:43:00,Email-Defender,10.95.88.189,132.61.193.11,T1110,Brute Force,P3,HIGH,LINUX-SVR,TRIAGE
ALT-009064,2026-05-28T08:00:00,Cloudtrail-AWS,10.238.79.11,40.165.26.199,T1566.001,Spearphishing Attachment,P3,CRITICAL,DC-SERVER,CONTAINED
ALT-009065,2026-04-03T22:20:00,Linux-Auditd,10.112.94.134,18.81.212.140,T1027,Obfuscated Files,P4,LOW,MAC-LAPTOP,TRIAGE
ALT-009066,2026-03-22T10:21:00,Cloudtrail-AWS,10.150.111.244,193.243.4.30,T1566.001,Spearphishing Attachment,P3,CRITICAL,LINUX-SVR,CLOSED
ALT-009067,2026-05-20T07:02:00,Linux-Auditd,10.195.58.99,66.144.12.234,T1566.001,Spearphishing Attachment,P3,CRITICAL,K8S-NODE,NEW
ALT-009068,2026-04-21T06:20:00,Cloudtrail-AWS,10.42.49.43,198.3.33.54,T1027,Obfuscated Files,P2,CRITICAL,WIN-LAPTOP,TRIAGE
ALT-009069,2026-05-27T22:56:00,EDR-Crowdstrike,10.36.78.7,118.169.19.23,T1041,Exfil over C2,P1,MED,MAC-LAPTOP,CONTAINED
ALT-009070,2026-03-19T07:58:00,EDR-Crowdstrike,10.208.198.116,162.207.221.81,T1486,Data Encrypted for Impact,P4,LOW,DC-SERVER,NEW
ALT-009071,2026-05-24T19:04:00,Cloudtrail-AWS,10.23.37.92,129.54.148.202,T1021.001,RDP,P3,LOW,MAC-LAPTOP,BENIGN
ALT-009072,2026-04-13T21:01:00,Cloudtrail-AWS,10.80.112.35,192.200.151.246,T1003,OS Credential Dumping,P2,HIGH,JUMPBOX,CLOSED
ALT-009073,2026-05-12T00:35:00,Firewall-Palo,10.72.63.11,2.201.43.79,T1027,Obfuscated Files,P3,MED,K8S-NODE,CLOSED
ALT-009074,2026-05-05T05:11:00,Linux-Auditd,10.129.99.30,47.27.236.166,T1190,Exploit Public-Facing App,P1,HIGH,JUMPBOX,NEW
ALT-009075,2026-04-04T06:46:00,Linux-Auditd,10.249.169.92,33.120.51.73,T1021.001,RDP,P1,MED,MAC-LAPTOP,BENIGN
ALT-009076,2026-04-11T19:42:00,Okta-IdP,10.78.186.207,81.219.86.2,T1486,Data Encrypted for Impact,P2,MED,JUMPBOX,CLOSED
ALT-009077,2026-05-14T08:53:00,O365-AlertCenter,10.68.169.225,123.236.228.92,T1566.001,Spearphishing Attachment,P3,CRITICAL,DC-SERVER,NEW
ALT-009078,2026-03-21T19:05:00,EDR-Crowdstrike,10.71.100.68,188.39.38.229,T1486,Data Encrypted for Impact,P1,CRITICAL,DC-SERVER,TRIAGE
ALT-009079,2026-03-18T08:34:00,Email-Defender,10.241.76.94,101.114.148.35,T1027,Obfuscated Files,P1,CRITICAL,MAC-LAPTOP,CONTAINED
ALT-009080,2026-03-22T07:54:00,Cloudtrail-AWS,10.84.71.115,41.91.74.189,T1021.001,RDP,P4,HIGH,WIN-LAPTOP,TRIAGE
ALT-009081,2026-04-08T02:16:00,Email-Defender,10.119.21.172,53.184.198.121,T1566.001,Spearphishing Attachment,P1,LOW,JUMPBOX,ESCALATED
ALT-009082,2026-03-23T16:40:00,Cloudtrail-AWS,10.134.89.97,168.193.187.151,T1486,Data Encrypted for Impact,P1,HIGH,K8S-NODE,TRIAGE
ALT-009083,2026-05-13T11:52:00,Firewall-Palo,10.249.246.228,155.3.71.113,T1566.001,Spearphishing Attachment,P2,LOW,DC-SERVER,CLOSED
ALT-009084,2026-04-07T04:11:00,EDR-Crowdstrike,10.185.60.170,59.212.169.185,T1078,Valid Accounts,P4,CRITICAL,K8S-NODE,TRIAGE
ALT-009085,2026-05-06T20:53:00,Linux-Auditd,10.11.124.12,33.82.68.162,T1041,Exfil over C2,P1,MED,WIN-LAPTOP,TRIAGE
ALT-009086,2026-04-06T16:25:00,Email-Defender,10.9.145.243,22.110.229.156,T1021.001,RDP,P4,MED,LINUX-SVR,BENIGN
ALT-009087,2026-05-05T18:52:00,Linux-Auditd,10.135.85.186,176.175.232.153,T1078,Valid Accounts,P1,MED,K8S-NODE,BENIGN
ALT-009088,2026-03-04T00:12:00,Linux-Auditd,10.214.76.156,25.90.243.231,T1027,Obfuscated Files,P1,LOW,WIN-LAPTOP,BENIGN
ALT-009089,2026-05-05T19:34:00,O365-AlertCenter,10.220.215.95,12.219.117.241,T1059.001,PowerShell,P4,CRITICAL,MAC-LAPTOP,CONTAINED
ALT-009090,2026-05-25T22:36:00,Linux-Auditd,10.217.68.66,123.119.42.73,T1110,Brute Force,P4,HIGH,LINUX-SVR,NEW
ALT-009091,2026-05-24T00:36:00,Okta-IdP,10.60.3.97,168.105.161.105,T1027,Obfuscated Files,P1,MED,K8S-NODE,CLOSED
ALT-009092,2026-05-09T08:54:00,Linux-Auditd,10.216.187.157,71.203.104.106,T1027,Obfuscated Files,P4,MED,MAC-LAPTOP,CONTAINED
ALT-009093,2026-05-16T08:19:00,O365-AlertCenter,10.176.203.189,36.60.117.115,T1021.001,RDP,P2,LOW,LINUX-SVR,CONTAINED
ALT-009094,2026-04-26T10:51:00,Firewall-Palo,10.26.82.100,163.2.46.211,T1027,Obfuscated Files,P4,CRITICAL,WIN-LAPTOP,NEW
ALT-009095,2026-04-08T11:05:00,O365-AlertCenter,10.19.196.239,103.146.29.243,T1021.001,RDP,P2,CRITICAL,K8S-NODE,NEW
ALT-009096,2026-03-28T21:59:00,EDR-Crowdstrike,10.146.99.9,201.118.86.173,T1027,Obfuscated Files,P3,MED,JUMPBOX,NEW
ALT-009097,2026-03-03T08:49:00,Cloudtrail-AWS,10.180.202.104,151.102.7.189,T1041,Exfil over C2,P1,LOW,DC-SERVER,ESCALATED
ALT-009098,2026-05-27T17:58:00,Firewall-Palo,10.178.177.247,209.141.115.156,T1021.001,RDP,P4,CRITICAL,DC-SERVER,NEW
ALT-009099,2026-04-06T13:32:00,Email-Defender,10.37.150.88,30.131.128.178,T1110,Brute Force,P4,CRITICAL,LINUX-SVR,ESCALATED
ALT-009100,2026-04-22T14:57:00,O365-AlertCenter,10.14.246.30,67.34.195.163,T1021.001,RDP,P2,MED,MAC-LAPTOP,BENIGN
ALT-009101,2026-04-17T17:00:00,Firewall-Palo,10.127.147.24,103.175.38.142,T1486,Data Encrypted for Impact,P4,HIGH,MAC-LAPTOP,TRIAGE
ALT-009102,2026-05-09T05:47:00,Firewall-Palo,10.255.102.61,189.123.135.53,T1190,Exploit Public-Facing App,P2,MED,DC-SERVER,ESCALATED
ALT-009103,2026-03-25T03:07:00,Linux-Auditd,10.252.3.196,220.21.246.96,T1110,Brute Force,P3,CRITICAL,DC-SERVER,ESCALATED
ALT-009104,2026-04-06T16:17:00,Linux-Auditd,10.113.65.14,135.216.244.241,T1041,Exfil over C2,P1,HIGH,K8S-NODE,CLOSED
ALT-009105,2026-03-15T03:44:00,Linux-Auditd,10.235.161.177,3.6.107.98,T1027,Obfuscated Files,P1,HIGH,MAC-LAPTOP,CONTAINED
ALT-009106,2026-04-06T17:16:00,Email-Defender,10.137.241.246,157.175.187.48,T1190,Exploit Public-Facing App,P4,MED,K8S-NODE,CLOSED
ALT-009107,2026-04-12T12:17:00,Okta-IdP,10.92.67.251,148.117.51.185,T1003,OS Credential Dumping,P2,CRITICAL,K8S-NODE,TRIAGE
ALT-009108,2026-03-26T23:09:00,Email-Defender,10.4.90.108,128.68.161.202,T1003,OS Credential Dumping,P3,HIGH,DC-SERVER,CONTAINED
ALT-009109,2026-03-13T03:44:00,Cloudtrail-AWS,10.30.110.209,66.243.49.116,T1078,Valid Accounts,P3,HIGH,MAC-LAPTOP,ESCALATED
ALT-009110,2026-05-18T08:22:00,O365-AlertCenter,10.210.62.90,223.101.89.251,T1059.001,PowerShell,P3,HIGH,MAC-LAPTOP,CLOSED
ALT-009111,2026-05-16T23:28:00,O365-AlertCenter,10.195.146.119,162.74.85.164,T1110,Brute Force,P3,CRITICAL,JUMPBOX,CONTAINED
ALT-009112,2026-05-13T02:05:00,Cloudtrail-AWS,10.175.116.81,82.149.136.155,T1078,Valid Accounts,P4,HIGH,K8S-NODE,ESCALATED
ALT-009113,2026-05-19T16:28:00,Okta-IdP,10.85.94.219,6.64.120.170,T1041,Exfil over C2,P1,MED,LINUX-SVR,BENIGN
ALT-009114,2026-03-04T02:59:00,Linux-Auditd,10.27.13.198,102.42.53.68,T1003,OS Credential Dumping,P2,LOW,JUMPBOX,BENIGN
ALT-009115,2026-04-08T07:47:00,Cloudtrail-AWS,10.226.64.34,135.87.14.9,T1486,Data Encrypted for Impact,P3,HIGH,K8S-NODE,BENIGN
ALT-009116,2026-05-09T17:28:00,Okta-IdP,10.90.233.162,192.222.158.233,T1078,Valid Accounts,P4,MED,WIN-LAPTOP,BENIGN
ALT-009117,2026-04-12T13:16:00,Email-Defender,10.155.5.1,134.69.176.74,T1078,Valid Accounts,P1,CRITICAL,K8S-NODE,ESCALATED
ALT-009118,2026-03-25T13:51:00,Linux-Auditd,10.118.3.141,96.96.210.226,T1486,Data Encrypted for Impact,P4,CRITICAL,LINUX-SVR,TRIAGE
ALT-009119,2026-05-24T20:24:00,Cloudtrail-AWS,10.112.134.21,109.122.139.73,T1041,Exfil over C2,P3,CRITICAL,LINUX-SVR,NEW
ALT-009120,2026-03-05T09:07:00,EDR-Crowdstrike,10.231.139.180,160.251.96.83,T1003,OS Credential Dumping,P2,LOW,DC-SERVER,NEW
ALT-009121,2026-03-04T09:17:00,Firewall-Palo,10.224.4.60,24.77.7.127,T1078,Valid Accounts,P3,CRITICAL,MAC-LAPTOP,BENIGN
ALT-009122,2026-04-15T22:50:00,O365-AlertCenter,10.169.41.216,193.74.28.69,T1059.001,PowerShell,P4,LOW,DC-SERVER,BENIGN
ALT-009123,2026-03-07T08:52:00,Email-Defender,10.6.62.250,197.127.197.198,T1041,Exfil over C2,P2,LOW,LINUX-SVR,BENIGN
ALT-009124,2026-05-25T03:33:00,Cloudtrail-AWS,10.242.199.175,80.165.81.162,T1190,Exploit Public-Facing App,P1,LOW,MAC-LAPTOP,BENIGN
ALT-009125,2026-05-10T06:23:00,Firewall-Palo,10.111.57.61,163.222.166.4,T1059.001,PowerShell,P3,LOW,K8S-NODE,TRIAGE
ALT-009126,2026-03-02T18:50:00,EDR-Crowdstrike,10.79.190.198,23.127.80.128,T1003,OS Credential Dumping,P3,LOW,WIN-LAPTOP,ESCALATED
ALT-009127,2026-05-05T22:34:00,Firewall-Palo,10.64.249.60,82.177.224.188,T1110,Brute Force,P1,CRITICAL,MAC-LAPTOP,CLOSED
ALT-009128,2026-03-09T01:31:00,Cloudtrail-AWS,10.150.250.49,146.95.178.83,T1003,OS Credential Dumping,P4,HIGH,DC-SERVER,CONTAINED
ALT-009129,2026-03-03T16:09:00,Cloudtrail-AWS,10.151.134.139,94.232.0.199,T1003,OS Credential Dumping,P4,MED,WIN-LAPTOP,CONTAINED
ALT-009130,2026-04-25T19:15:00,Okta-IdP,10.32.198.49,135.254.78.157,T1566.001,Spearphishing Attachment,P3,CRITICAL,JUMPBOX,ESCALATED
ALT-009131,2026-03-04T16:42:00,Firewall-Palo,10.22.66.46,9.103.54.125,T1110,Brute Force,P1,LOW,DC-SERVER,CLOSED
ALT-009132,2026-04-22T15:33:00,Firewall-Palo,10.131.25.94,57.36.6.239,T1021.001,RDP,P4,LOW,K8S-NODE,CLOSED
ALT-009133,2026-03-12T17:47:00,EDR-Crowdstrike,10.188.29.211,158.136.20.188,T1041,Exfil over C2,P3,LOW,LINUX-SVR,CONTAINED
ALT-009134,2026-03-04T23:14:00,Cloudtrail-AWS,10.197.97.50,135.127.91.143,T1027,Obfuscated Files,P4,LOW,JUMPBOX,CONTAINED
ALT-009135,2026-04-22T14:44:00,Firewall-Palo,10.53.85.203,47.205.172.169,T1041,Exfil over C2,P4,HIGH,MAC-LAPTOP,CONTAINED
ALT-009136,2026-04-28T11:26:00,Linux-Auditd,10.165.123.145,140.109.192.197,T1041,Exfil over C2,P3,HIGH,K8S-NODE,BENIGN
ALT-009137,2026-04-01T23:02:00,Firewall-Palo,10.8.69.228,78.3.153.253,T1486,Data Encrypted for Impact,P2,HIGH,WIN-LAPTOP,CLOSED
ALT-009138,2026-04-18T16:35:00,Okta-IdP,10.79.48.10,118.182.79.36,T1021.001,RDP,P3,MED,LINUX-SVR,ESCALATED
ALT-009139,2026-04-03T18:25:00,O365-AlertCenter,10.111.39.186,84.247.88.125,T1021.001,RDP,P1,HIGH,WIN-LAPTOP,CLOSED
ALT-009140,2026-05-13T02:49:00,O365-AlertCenter,10.171.178.226,210.222.213.239,T1059.001,PowerShell,P1,MED,JUMPBOX,CLOSED
ALT-009141,2026-05-01T20:49:00,Linux-Auditd,10.27.156.135,11.163.76.84,T1041,Exfil over C2,P2,MED,WIN-LAPTOP,CLOSED
ALT-009142,2026-05-13T14:48:00,Okta-IdP,10.46.113.111,75.201.75.34,T1021.001,RDP,P1,CRITICAL,DC-SERVER,CLOSED
ALT-009143,2026-03-18T12:16:00,Linux-Auditd,10.204.222.199,179.66.69.124,T1110,Brute Force,P2,CRITICAL,K8S-NODE,CLOSED
ALT-009144,2026-05-07T17:39:00,Linux-Auditd,10.126.124.19,69.220.165.176,T1027,Obfuscated Files,P1,LOW,JUMPBOX,BENIGN
ALT-009145,2026-04-12T11:12:00,O365-AlertCenter,10.176.12.198,79.86.179.158,T1566.001,Spearphishing Attachment,P4,MED,K8S-NODE,NEW
ALT-009146,2026-03-07T21:23:00,O365-AlertCenter,10.43.57.190,14.124.75.223,T1078,Valid Accounts,P3,LOW,MAC-LAPTOP,CLOSED
ALT-009147,2026-03-10T14:30:00,Linux-Auditd,10.169.107.190,138.108.104.140,T1059.001,PowerShell,P3,CRITICAL,DC-SERVER,CLOSED
ALT-009148,2026-03-23T22:42:00,O365-AlertCenter,10.192.22.66,44.30.145.52,T1059.001,PowerShell,P3,LOW,K8S-NODE,CLOSED
ALT-009149,2026-03-03T12:42:00,Email-Defender,10.184.55.5,75.197.118.251,T1486,Data Encrypted for Impact,P1,HIGH,K8S-NODE,CONTAINED
ALT-009150,2026-05-03T05:12:00,Email-Defender,10.234.11.11,64.156.170.126,T1027,Obfuscated Files,P2,LOW,MAC-LAPTOP,CLOSED
ALT-009151,2026-04-12T20:19:00,Linux-Auditd,10.141.31.161,66.198.15.242,T1190,Exploit Public-Facing App,P3,MED,LINUX-SVR,ESCALATED
ALT-009152,2026-04-22T04:05:00,Okta-IdP,10.116.213.62,147.78.218.249,T1041,Exfil over C2,P3,CRITICAL,DC-SERVER,TRIAGE
ALT-009153,2026-03-21T04:37:00,O365-AlertCenter,10.103.70.80,177.69.220.233,T1027,Obfuscated Files,P2,MED,MAC-LAPTOP,NEW
ALT-009154,2026-05-18T23:07:00,Email-Defender,10.162.74.187,8.163.211.247,T1078,Valid Accounts,P3,CRITICAL,JUMPBOX,CLOSED
ALT-009155,2026-05-09T04:49:00,Firewall-Palo,10.54.67.48,7.136.118.153,T1190,Exploit Public-Facing App,P2,LOW,MAC-LAPTOP,NEW
ALT-009156,2026-05-25T15:08:00,Firewall-Palo,10.240.191.48,219.198.251.122,T1027,Obfuscated Files,P2,MED,LINUX-SVR,NEW
ALT-009157,2026-04-25T00:59:00,Firewall-Palo,10.211.113.191,172.103.104.17,T1486,Data Encrypted for Impact,P4,CRITICAL,JUMPBOX,ESCALATED
ALT-009158,2026-04-08T13:25:00,Email-Defender,10.194.160.101,157.19.55.116,T1059.001,PowerShell,P1,MED,DC-SERVER,CONTAINED
ALT-009159,2026-04-24T01:35:00,O365-AlertCenter,10.25.97.75,113.203.155.199,T1041,Exfil over C2,P3,CRITICAL,LINUX-SVR,BENIGN
ALT-009160,2026-04-20T01:44:00,Linux-Auditd,10.72.237.213,166.231.46.185,T1027,Obfuscated Files,P1,MED,DC-SERVER,CLOSED
