Shipment ID,Month,Order Date,Carrier,Mode,Origin Warehouse,Dest Region,Dest Country,Category,Units,Order Value,Freight Cost,Weight Kg,SLA Days,Transit Days,On Time,On Time Num,Damaged,Damaged Num,CO2 Kg
SHP-0018,2025-01,2025-01-21,BlueDart Express,Air,Singapore Hub,Americas,Canada,Perishables,182,16733,4939,1338,4,2,Yes,100,No,0,2890
SHP-0019,2025-01,2025-01-15,TransGlobal,Rail,Memphis DC,LATAM,Chile,Electronics,397,73608,656,1484,10,8,Yes,100,No,0,107
SHP-0020,2025-01,2025-01-13,Arctic Line,Rail,Guadalajara DC,LATAM,Chile,Industrial Parts,92,13991,59,222,10,11,Yes,100,No,0,16
SHP-0021,2025-02,2025-02-21,Meridian Freight,Sea,Singapore Hub,Americas,United States,Perishables,317,52743,298,1534,28,27,Yes,100,Yes,100,66
SHP-0022,2025-02,2025-02-07,Meridian Freight,Sea,Memphis DC,Americas,Brazil,Apparel,209,15261,231,1156,28,29,Yes,100,No,0,50
SHP-0023,2025-02,2025-02-13,TransGlobal,Air,Memphis DC,EMEA,France,Electronics,414,55418,5416,3115,4,5,No,0,No,0,3364
SHP-0024,2025-02,2025-02-02,BlueDart Express,Road,Rotterdam DC,APAC,Australia,Electronics,489,61358,3253,3066,7,3,Yes,100,No,0,1435
SHP-0025,2025-02,2025-02-28,BlueDart Express,Road,Memphis DC,Americas,United States,Industrial Parts,76,10563,510,545,7,3,Yes,100,No,0,177
SHP-0026,2025-02,2025-02-16,BlueDart Express,Road,Gdansk DC,EMEA,Germany,Electronics,121,23229,653,753,7,4,Yes,100,No,0,122
SHP-0027,2025-02,2025-02-28,Arctic Line,Rail,Rotterdam DC,LATAM,Mexico,Industrial Parts,446,50373,561,1963,10,14,Yes,100,No,0,141
SHP-0028,2025-02,2025-02-04,TransGlobal,Sea,Gdansk DC,LATAM,Chile,Perishables,297,52957,349,1453,28,22,Yes,100,No,0,42
SHP-0029,2025-02,2025-02-05,Meridian Freight,Sea,Rotterdam DC,Americas,Canada,Apparel,395,47371,265,1370,28,31,Yes,100,Yes,100,59
SHP-0030,2025-02,2025-02-21,Arctic Line,Sea,Rotterdam DC,Americas,Canada,Perishables,455,64581,337,1930,28,48,No,0,No,0,83
SHP-0031,2025-02,2025-02-16,Arctic Line,Sea,Memphis DC,APAC,Australia,Perishables,396,63044,256,1487,28,33,Yes,100,No,0,93
SHP-0032,2025-02,2025-02-24,TransGlobal,Air,Memphis DC,Americas,United States,Perishables,371,53976,3505,1719,4,3,Yes,100,No,0,3713
SHP-0033,2025-02,2025-02-15,BlueDart Express,Road,Singapore Hub,LATAM,Mexico,Perishables,442,83410,3276,3399,7,3,Yes,100,No,0,734
SHP-0034,2025-02,2025-02-02,Meridian Freight,Sea,Memphis DC,APAC,Australia,Perishables,208,40690,106,591,28,34,Yes,100,No,0,37
SHP-0035,2025-02,2025-02-09,TransGlobal,Air,Memphis DC,Americas,United States,Industrial Parts,395,78462,5283,2437,4,5,No,0,No,0,5264
SHP-0036,2025-02,2025-02-09,Arctic Line,Rail,Gdansk DC,APAC,Japan,Apparel,311,56985,465,1810,10,21,No,0,No,0,282
SHP-0037,2025-02,2025-02-24,TransGlobal,Air,Memphis DC,Americas,United States,Industrial Parts,385,32611,3116,1842,4,4,Yes,100,No,0,3979
SHP-0038,2025-02,2025-02-06,BlueDart Express,Road,Gdansk DC,EMEA,Germany,Apparel,104,4302,371,392,7,3,Yes,100,No,0,64
SHP-0039,2025-02,2025-02-19,BlueDart Express,Air,Guadalajara DC,Americas,Canada,Perishables,62,8609,1602,466,4,2,Yes,100,No,0,1007
SHP-0040,2025-02,2025-02-17,Meridian Freight,Road,Rotterdam DC,LATAM,Chile,Industrial Parts,145,16151,435,933,7,8,Yes,100,No,0,202
SHP-0041,2025-03,2025-03-18,TransGlobal,Sea,Singapore Hub,Americas,Brazil,Industrial Parts,494,59311,661,2766,28,26,Yes,100,No,0,119
SHP-0042,2025-03,2025-03-07,Meridian Freight,Sea,Rotterdam DC,LATAM,Mexico,Perishables,172,9415,142,875,28,27,Yes,100,No,0,25
SHP-0043,2025-03,2025-03-06,BlueDart Express,Air,Gdansk DC,Americas,United States,Industrial Parts,458,55434,10837,2956,4,2,Yes,100,No,0,6385
SHP-0044,2025-03,2025-03-01,TransGlobal,Air,Gdansk DC,EMEA,United Kingdom,Perishables,439,43921,3009,1492,4,3,Yes,100,No,0,1611
SHP-0045,2025-03,2025-03-11,Meridian Freight,Road,Memphis DC,EMEA,United Kingdom,Apparel,360,56762,588,1481,7,7,Yes,100,No,0,240
SHP-0046,2025-03,2025-03-19,TransGlobal,Rail,Guadalajara DC,Americas,United States,Perishables,207,11549,372,859,10,8,Yes,100,No,0,93
SHP-0047,2025-03,2025-03-26,TransGlobal,Rail,Memphis DC,Americas,Brazil,Apparel,469,20126,771,1661,10,8,Yes,100,No,0,179
SHP-0048,2025-03,2025-03-05,Arctic Line,Sea,Memphis DC,Americas,Canada,Apparel,46,3926,23,154,28,33,Yes,100,No,0,7
SHP-0049,2025-03,2025-03-05,TransGlobal,Sea,Memphis DC,EMEA,Germany,Electronics,140,4529,83,351,28,22,Yes,100,No,0,8
SHP-0050,2025-03,2025-03-30,Arctic Line,Rail,Rotterdam DC,APAC,India,Perishables,314,52454,507,1545,10,13,Yes,100,No,0,241
SHP-0051,2025-03,2025-03-01,Meridian Freight,Sea,Singapore Hub,LATAM,Mexico,Industrial Parts,391,42648,435,2309,28,27,Yes,100,No,0,66
SHP-0052,2025-03,2025-03-22,BlueDart Express,Air,Gdansk DC,EMEA,United Arab Emirates,Industrial Parts,178,15256,2378,799,4,2,Yes,100,No,0,863
SHP-0053,2025-03,2025-03-20,Meridian Freight,Sea,Memphis DC,Americas,Canada,Apparel,487,84653,349,2047,28,29,Yes,100,No,0,88
SHP-0054,2025-03,2025-03-19,TransGlobal,Air,Rotterdam DC,LATAM,Mexico,Perishables,401,27359,1956,1023,4,3,Yes,100,No,0,1473
SHP-0055,2025-03,2025-03-14,Arctic Line,Rail,Memphis DC,LATAM,Mexico,Apparel,77,9120,172,548,10,21,No,0,No,0,39
SHP-0056,2025-03,2025-03-27,Arctic Line,Rail,Gdansk DC,LATAM,Mexico,Industrial Parts,461,25383,813,3079,10,13,Yes,100,No,0,222
SHP-0057,2025-03,2025-03-20,Arctic Line,Rail,Memphis DC,APAC,Japan,Perishables,160,29419,292,1161,10,12,Yes,100,No,0,181
SHP-0058,2025-03,2025-03-14,TransGlobal,Rail,Guadalajara DC,EMEA,United Kingdom,Apparel,105,18094,235,655,10,8,Yes,100,No,0,35
SHP-0059,2025-03,2025-03-24,Meridian Freight,Road,Rotterdam DC,APAC,India,Industrial Parts,98,11467,345,667,7,7,Yes,100,No,0,312
SHP-0060,2025-03,2025-03-22,TransGlobal,Rail,Gdansk DC,APAC,India,Apparel,453,79180,618,1514,10,10,Yes,100,No,0,236
SHP-0061,2025-04,2025-04-09,Arctic Line,Sea,Guadalajara DC,Americas,United States,Apparel,113,5344,41,301,28,56,No,0,No,0,13
SHP-0062,2025-04,2025-04-22,Meridian Freight,Sea,Memphis DC,Americas,Brazil,Perishables,55,4409,45,286,28,27,Yes,100,No,0,12
SHP-0063,2025-04,2025-04-26,Arctic Line,Sea,Singapore Hub,APAC,Japan,Electronics,288,25192,252,1728,28,36,Yes,100,No,0,108
SHP-0064,2025-04,2025-04-25,BlueDart Express,Road,Singapore Hub,EMEA,Germany,Apparel,344,48875,2264,2335,7,3,Yes,100,No,0,378
SHP-0065,2025-04,2025-04-05,Meridian Freight,Sea,Singapore Hub,LATAM,Mexico,Electronics,370,27622,316,1745,28,51,No,0,No,0,50
SHP-0066,2025-04,2025-04-19,Arctic Line,Rail,Memphis DC,APAC,India,Electronics,222,40864,475,1631,10,12,Yes,100,No,0,254
SHP-0067,2025-04,2025-04-09,TransGlobal,Air,Rotterdam DC,LATAM,Mexico,Electronics,78,6864,452,229,4,3,Yes,100,Yes,100,330
SHP-0068,2025-04,2025-04-15,Meridian Freight,Sea,Rotterdam DC,LATAM,Mexico,Apparel,26,1005,18,108,28,31,Yes,100,No,0,3
SHP-0069,2025-04,2025-04-14,Meridian Freight,Sea,Singapore Hub,LATAM,Mexico,Industrial Parts,270,12866,330,1887,28,28,Yes,100,No,0,54
SHP-0070,2025-04,2025-04-03,BlueDart Express,Road,Guadalajara DC,APAC,Australia,Electronics,318,22286,1812,1954,7,3,Yes,100,No,0,914
SHP-0071,2025-04,2025-04-11,Arctic Line,Sea,Guadalajara DC,Americas,Brazil,Electronics,356,28924,269,1744,28,39,Yes,100,No,0,75
SHP-0072,2025-04,2025-04-26,BlueDart Express,Road,Guadalajara DC,LATAM,Chile,Industrial Parts,416,46847,1579,1466,7,3,Yes,100,No,0,317
SHP-0073,2025-04,2025-04-29,Arctic Line,Rail,Gdansk DC,Americas,Brazil,Industrial Parts,38,6576,59,230,10,13,Yes,100,No,0,25
SHP-0074,2025-04,2025-04-23,TransGlobal,Rail,Rotterdam DC,APAC,Japan,Apparel,266,36729,387,841,10,8,Yes,100,No,0,131
SHP-0075,2025-04,2025-04-03,TransGlobal,Air,Guadalajara DC,APAC,India,Electronics,302,59980,2529,1202,4,4,Yes,100,No,0,3750
SHP-0076,2025-04,2025-04-25,Arctic Line,Sea,Gdansk DC,Americas,United States,Electronics,338,47273,133,878,28,31,Yes,100,No,0,38
SHP-0077,2025-04,2025-04-08,BlueDart Express,Road,Memphis DC,EMEA,United Arab Emirates,Perishables,437,42231,944,1144,7,3,Yes,100,No,0,185
SHP-0078,2025-04,2025-04-19,Arctic Line,Sea,Rotterdam DC,APAC,Australia,Industrial Parts,492,71563,661,3663,28,37,Yes,100,No,0,229
SHP-0079,2025-04,2025-04-28,Meridian Freight,Sea,Singapore Hub,Americas,Brazil,Industrial Parts,57,3520,28,174,28,27,Yes,100,No,0,8
SHP-0080,2025-04,2025-04-09,TransGlobal,Rail,Guadalajara DC,APAC,Japan,Industrial Parts,499,63241,1150,2461,10,9,Yes,100,No,0,384
SHP-0081,2025-05,2025-05-27,BlueDart Express,Road,Gdansk DC,EMEA,France,Electronics,217,33938,1326,1519,7,3,Yes,100,No,0,246
SHP-0082,2025-05,2025-05-11,Meridian Freight,Road,Singapore Hub,APAC,Japan,Electronics,95,15028,144,354,7,8,Yes,100,No,0,166
SHP-0083,2025-05,2025-05-27,TransGlobal,Air,Singapore Hub,APAC,India,Industrial Parts,64,12146,305,141,4,3,Yes,100,No,0,440
SHP-0084,2025-05,2025-05-13,BlueDart Express,Air,Gdansk DC,EMEA,United Kingdom,Electronics,285,45819,8073,2221,4,2,Yes,100,No,0,2399
SHP-0085,2025-05,2025-05-08,TransGlobal,Rail,Guadalajara DC,LATAM,Mexico,Electronics,152,12254,156,329,10,9,Yes,100,No,0,24
SHP-0086,2025-05,2025-05-20,Arctic Line,Sea,Guadalajara DC,LATAM,Chile,Industrial Parts,421,50602,146,980,28,36,Yes,100,No,0,28
SHP-0087,2025-05,2025-05-02,Arctic Line,Rail,Gdansk DC,EMEA,Germany,Apparel,28,5009,32,94,10,13,Yes,100,Yes,100,5
SHP-0088,2025-05,2025-05-02,Arctic Line,Rail,Gdansk DC,LATAM,Chile,Industrial Parts,149,28444,192,578,10,14,Yes,100,No,0,42
SHP-0089,2025-05,2025-05-28,Meridian Freight,Sea,Guadalajara DC,EMEA,France,Apparel,188,12932,211,1171,28,26,Yes,100,No,0,25
SHP-0090,2025-05,2025-05-06,Meridian Freight,Road,Gdansk DC,Americas,United States,Perishables,118,16243,275,521,7,7,Yes,100,No,0,169
SHP-0091,2025-05,2025-05-19,Meridian Freight,Sea,Gdansk DC,APAC,Japan,Industrial Parts,184,30547,147,899,28,34,Yes,100,No,0,56
SHP-0092,2025-05,2025-05-14,Meridian Freight,Road,Gdansk DC,APAC,India,Apparel,217,39906,402,927,7,8,Yes,100,No,0,434
SHP-0093,2025-05,2025-05-07,Meridian Freight,Sea,Memphis DC,EMEA,France,Industrial Parts,404,30606,171,1041,28,32,Yes,100,No,0,22
SHP-0094,2025-05,2025-05-25,Meridian Freight,Road,Gdansk DC,LATAM,Chile,Perishables,364,68600,1276,2417,7,8,Yes,100,No,0,522
SHP-0095,2025-05,2025-05-12,BlueDart Express,Road,Memphis DC,APAC,Australia,Electronics,310,17304,1572,1524,7,3,Yes,100,No,0,713
SHP-0096,2025-05,2025-05-27,TransGlobal,Rail,Singapore Hub,APAC,Japan,Perishables,352,18920,727,1711,10,8,Yes,100,No,0,267
SHP-0097,2025-05,2025-05-09,TransGlobal,Sea,Rotterdam DC,Americas,United States,Electronics,175,9696,123,517,28,25,Yes,100,No,0,22
SHP-0098,2025-05,2025-05-02,TransGlobal,Air,Gdansk DC,Americas,Brazil,Perishables,192,21997,1121,597,4,3,Yes,100,No,0,1290
SHP-0099,2025-05,2025-05-27,TransGlobal,Rail,Gdansk DC,APAC,Japan,Electronics,90,15793,80,184,10,9,Yes,100,No,0,29
SHP-0100,2025-05,2025-05-08,TransGlobal,Air,Singapore Hub,Americas,Brazil,Apparel,425,67221,2059,1195,4,3,Yes,100,No,0,2581
SHP-0101,2025-06,2025-06-23,TransGlobal,Sea,Singapore Hub,APAC,Japan,Perishables,400,36149,289,1356,28,23,Yes,100,No,0,85
SHP-0102,2025-06,2025-06-04,TransGlobal,Sea,Guadalajara DC,APAC,Australia,Apparel,236,42159,140,542,28,26,Yes,100,No,0,34
SHP-0103,2025-06,2025-06-23,Arctic Line,Rail,Guadalajara DC,EMEA,United Kingdom,Perishables,437,50031,606,2161,10,13,Yes,100,No,0,117
SHP-0104,2025-06,2025-06-27,BlueDart Express,Road,Guadalajara DC,APAC,India,Electronics,285,31803,1098,1084,7,3,Yes,100,No,0,507
SHP-0105,2025-06,2025-06-19,BlueDart Express,Road,Guadalajara DC,Americas,United States,Apparel,484,61391,3659,3465,7,3,Yes,100,No,0,1123
SHP-0106,2025-06,2025-06-23,Meridian Freight,Road,Singapore Hub,Americas,Canada,Perishables,395,52070,1486,2929,7,8,Yes,100,No,0,949
SHP-0107,2025-06,2025-06-06,BlueDart Express,Air,Guadalajara DC,APAC,Japan,Perishables,367,40443,9698,2830,4,2,Yes,100,No,0,8830
SHP-0108,2025-06,2025-06-27,Meridian Freight,Sea,Gdansk DC,Americas,Brazil,Apparel,367,70364,513,2873,28,29,Yes,100,No,0,124
SHP-0109,2025-06,2025-06-23,TransGlobal,Rail,Rotterdam DC,Americas,Brazil,Apparel,288,17672,1081,2234,10,14,No,0,No,0,241
SHP-0110,2025-06,2025-06-18,Meridian Freight,Sea,Singapore Hub,Americas,United States,Industrial Parts,95,7178,42,226,28,28,Yes,100,No,0,10
SHP-0111,2025-06,2025-06-11,Arctic Line,Rail,Gdansk DC,LATAM,Chile,Electronics,361,33166,810,2730,10,12,Yes,100,No,0,197
SHP-0112,2025-06,2025-06-21,TransGlobal,Rail,Memphis DC,EMEA,Germany,Electronics,285,15885,673,1464,10,8,Yes,100,No,0,79
SHP-0113,2025-06,2025-06-27,Arctic Line,Sea,Rotterdam DC,LATAM,Chile,Apparel,336,18140,269,1838,28,34,Yes,100,No,0,53
SHP-0114,2025-06,2025-06-29,Meridian Freight,Road,Singapore Hub,Americas,Canada,Perishables,29,5683,78,184,7,8,Yes,100,No,0,60
SHP-0115,2025-06,2025-06-29,TransGlobal,Rail,Gdansk DC,Americas,Canada,Industrial Parts,65,7638,190,458,10,8,Yes,100,No,0,49
SHP-0116,2025-06,2025-06-19,Arctic Line,Sea,Gdansk DC,LATAM,Mexico,Perishables,263,27602,292,1640,28,39,Yes,100,No,0,47
SHP-0117,2025-06,2025-06-08,Arctic Line,Rail,Guadalajara DC,EMEA,United Arab Emirates,Industrial Parts,360,40548,435,1511,10,13,Yes,100,No,0,82
SHP-0118,2025-06,2025-06-14,TransGlobal,Rail,Guadalajara DC,EMEA,United Kingdom,Industrial Parts,308,52692,316,873,10,8,Yes,100,No,0,47
SHP-0119,2025-06,2025-06-26,Arctic Line,Sea,Gdansk DC,Americas,Brazil,Industrial Parts,168,27643,136,874,28,39,Yes,100,No,0,38
SHP-0120,2025-06,2025-06-12,BlueDart Express,Road,Memphis DC,EMEA,Germany,Perishables,78,11121,311,351,7,3,Yes,100,No,0,57
SHP-0121,2025-07,2025-07-09,TransGlobal,Rail,Guadalajara DC,LATAM,Chile,Electronics,325,14371,837,1867,10,8,Yes,100,No,0,134
SHP-0122,2025-07,2025-07-13,Arctic Line,Rail,Guadalajara DC,Americas,Canada,Apparel,457,30000,384,1423,10,13,Yes,100,No,0,154
SHP-0123,2025-07,2025-07-28,Arctic Line,Rail,Gdansk DC,APAC,India,Industrial Parts,203,28477,136,485,10,11,Yes,100,No,0,76
SHP-0124,2025-07,2025-07-31,BlueDart Express,Air,Gdansk DC,EMEA,France,Industrial Parts,73,8725,2116,532,4,2,Yes,100,No,0,575
SHP-0125,2025-07,2025-07-02,BlueDart Express,Road,Singapore Hub,APAC,Japan,Industrial Parts,242,44013,1355,1461,7,3,Yes,100,No,0,684
SHP-0126,2025-07,2025-07-10,Meridian Freight,Road,Guadalajara DC,APAC,Australia,Electronics,448,21739,1226,2782,7,7,Yes,100,No,0,1302
SHP-0127,2025-07,2025-07-21,TransGlobal,Rail,Guadalajara DC,EMEA,Germany,Industrial Parts,294,29776,744,1545,10,9,Yes,100,Yes,100,83
SHP-0128,2025-07,2025-07-05,TransGlobal,Sea,Rotterdam DC,LATAM,Chile,Electronics,342,55817,611,2600,28,26,Yes,100,No,0,75
SHP-0129,2025-07,2025-07-28,Meridian Freight,Road,Guadalajara DC,Americas,Canada,Electronics,48,9521,154,354,7,7,Yes,100,No,0,115
SHP-0130,2025-07,2025-07-25,Meridian Freight,Road,Memphis DC,EMEA,United Arab Emirates,Electronics,33,4343,82,198,7,8,Yes,100,No,0,32
SHP-0131,2025-07,2025-07-16,Meridian Freight,Sea,Rotterdam DC,EMEA,Germany,Apparel,85,11416,116,658,28,27,Yes,100,No,0,14
SHP-0132,2025-07,2025-07-12,Meridian Freight,Sea,Memphis DC,LATAM,Mexico,Perishables,207,30251,136,720,28,52,No,0,No,0,21
SHP-0133,2025-07,2025-07-29,Arctic Line,Sea,Memphis DC,APAC,Australia,Apparel,53,5553,55,302,28,34,Yes,100,No,0,19
SHP-0134,2025-07,2025-07-06,Arctic Line,Sea,Rotterdam DC,EMEA,Germany,Electronics,207,29005,109,686,28,32,Yes,100,No,0,15
SHP-0135,2025-07,2025-07-30,Meridian Freight,Road,Guadalajara DC,LATAM,Chile,Perishables,423,61834,972,1961,7,7,Yes,100,No,0,424
SHP-0136,2025-07,2025-07-14,Meridian Freight,Sea,Singapore Hub,LATAM,Mexico,Apparel,489,32295,743,3487,28,27,Yes,100,No,0,100
SHP-0137,2025-07,2025-07-18,Meridian Freight,Road,Rotterdam DC,Americas,Canada,Industrial Parts,170,15317,198,423,7,7,Yes,100,No,0,137
SHP-0138,2025-07,2025-07-07,BlueDart Express,Air,Rotterdam DC,Americas,Canada,Apparel,70,10046,1426,406,4,2,Yes,100,No,0,877
SHP-0139,2025-07,2025-07-31,TransGlobal,Air,Gdansk DC,LATAM,Mexico,Perishables,80,3537,533,248,4,4,Yes,100,No,0,357
SHP-0140,2025-07,2025-07-05,Meridian Freight,Road,Gdansk DC,Americas,Canada,Electronics,480,73538,1073,2334,7,8,Yes,100,No,0,756
SHP-0141,2025-08,2025-08-28,BlueDart Express,Road,Singapore Hub,LATAM,Chile,Perishables,448,70290,2221,2364,7,4,Yes,100,No,0,511
SHP-0142,2025-08,2025-08-25,Arctic Line,Rail,Memphis DC,LATAM,Mexico,Industrial Parts,358,47987,546,1968,10,13,Yes,100,No,0,142
SHP-0143,2025-08,2025-08-25,Arctic Line,Rail,Gdansk DC,Americas,Brazil,Apparel,366,54838,364,1132,10,21,No,0,Yes,100,122
SHP-0144,2025-08,2025-08-24,Meridian Freight,Sea,Guadalajara DC,EMEA,Germany,Electronics,95,4114,132,622,28,50,No,0,No,0,13
SHP-0145,2025-08,2025-08-14,Meridian Freight,Sea,Rotterdam DC,EMEA,France,Industrial Parts,51,8615,49,227,28,30,Yes,100,No,0,5
SHP-0146,2025-08,2025-08-30,BlueDart Express,Air,Rotterdam DC,Americas,Brazil,Electronics,59,8462,1394,438,4,2,Yes,100,No,0,946
SHP-0147,2025-08,2025-08-06,TransGlobal,Sea,Gdansk DC,EMEA,United Arab Emirates,Apparel,73,9775,123,451,28,22,Yes,100,No,0,10
SHP-0148,2025-08,2025-08-22,BlueDart Express,Road,Memphis DC,APAC,India,Perishables,420,45720,1366,1485,7,4,Yes,100,No,0,695
SHP-0149,2025-08,2025-08-29,Arctic Line,Sea,Gdansk DC,APAC,Japan,Apparel,254,31812,215,1359,28,39,Yes,100,No,0,85
SHP-0150,2025-08,2025-08-15,Meridian Freight,Sea,Gdansk DC,LATAM,Chile,Apparel,176,34850,71,366,28,32,Yes,100,No,0,11
SHP-0151,2025-08,2025-08-27,TransGlobal,Sea,Singapore Hub,Americas,Brazil,Electronics,444,67152,642,2701,28,22,Yes,100,No,0,117
SHP-0152,2025-08,2025-08-03,TransGlobal,Rail,Rotterdam DC,LATAM,Mexico,Industrial Parts,409,72799,1102,2451,10,9,Yes,100,No,0,176
SHP-0153,2025-08,2025-08-11,Meridian Freight,Sea,Singapore Hub,EMEA,United Arab Emirates,Apparel,430,84163,452,2239,28,33,Yes,100,No,0,48
SHP-0154,2025-08,2025-08-02,Arctic Line,Rail,Singapore Hub,EMEA,France,Industrial Parts,437,69053,778,2904,10,13,Yes,100,No,0,157
SHP-0155,2025-08,2025-08-07,Meridian Freight,Road,Memphis DC,Americas,Canada,Apparel,248,32857,291,689,7,8,Yes,100,No,0,223
SHP-0156,2025-08,2025-08-24,Arctic Line,Sea,Guadalajara DC,Americas,Brazil,Perishables,394,26664,359,2515,28,31,Yes,100,Yes,100,109
SHP-0157,2025-08,2025-08-07,Meridian Freight,Road,Guadalajara DC,EMEA,United Kingdom,Perishables,497,96696,1413,2937,7,8,Yes,100,No,0,476
SHP-0158,2025-08,2025-08-27,BlueDart Express,Road,Guadalajara DC,EMEA,United Kingdom,Electronics,371,28339,1664,1492,7,4,Yes,100,No,0,242
SHP-0159,2025-08,2025-08-31,Arctic Line,Sea,Memphis DC,LATAM,Chile,Industrial Parts,67,4784,74,514,28,33,Yes,100,No,0,15
SHP-0160,2025-08,2025-08-01,Arctic Line,Sea,Gdansk DC,EMEA,Germany,Industrial Parts,356,60942,115,782,28,37,Yes,100,No,0,17
SHP-0161,2025-09,2025-09-11,Arctic Line,Sea,Guadalajara DC,EMEA,France,Apparel,160,11343,187,1276,28,31,Yes,100,No,0,28
SHP-0162,2025-09,2025-09-28,TransGlobal,Air,Memphis DC,Americas,United States,Industrial Parts,22,4278,210,113,4,3,Yes,100,No,0,244
SHP-0163,2025-09,2025-09-21,Meridian Freight,Road,Guadalajara DC,EMEA,United Arab Emirates,Apparel,383,65305,1502,3001,7,7,Yes,100,No,0,486
SHP-0164,2025-09,2025-09-06,TransGlobal,Sea,Gdansk DC,Americas,Canada,Perishables,85,10756,55,219,28,24,Yes,100,No,0,9
SHP-0165,2025-09,2025-09-17,Meridian Freight,Road,Memphis DC,LATAM,Chile,Perishables,44,5677,41,91,7,7,Yes,100,No,0,20
SHP-0166,2025-09,2025-09-21,BlueDart Express,Road,Gdansk DC,APAC,India,Electronics,414,30266,1240,1188,7,3,Yes,100,No,0,556
SHP-0167,2025-09,2025-09-11,BlueDart Express,Road,Rotterdam DC,LATAM,Mexico,Perishables,205,36009,1229,1049,7,3,Yes,100,No,0,227
SHP-0168,2025-09,2025-09-07,Meridian Freight,Sea,Guadalajara DC,Americas,United States,Electronics,222,31414,142,712,28,32,Yes,100,No,0,31
SHP-0169,2025-09,2025-09-29,Meridian Freight,Road,Rotterdam DC,APAC,Australia,Perishables,203,17433,403,844,7,8,Yes,100,Yes,100,395
SHP-0170,2025-09,2025-09-22,Arctic Line,Sea,Rotterdam DC,Americas,Canada,Industrial Parts,220,10237,244,1510,28,34,Yes,100,No,0,65
SHP-0171,2025-09,2025-09-16,BlueDart Express,Air,Guadalajara DC,Americas,Brazil,Apparel,349,22289,2228,716,4,2,Yes,100,No,0,1547
SHP-0172,2025-09,2025-09-16,Meridian Freight,Sea,Singapore Hub,LATAM,Mexico,Industrial Parts,311,14285,239,1328,28,47,No,0,No,0,38
SHP-0173,2025-09,2025-09-24,Meridian Freight,Road,Memphis DC,EMEA,United Arab Emirates,Electronics,337,65110,1106,2306,7,8,Yes,100,No,0,374
SHP-0174,2025-09,2025-09-24,BlueDart Express,Road,Guadalajara DC,Americas,Canada,Apparel,447,39767,2314,2292,7,3,Yes,100,No,0,743
