root	kind	name	target	state	class	reason
/Users/michelkerkmeester/MEGA/Development/AI Systems	owned-path	opencode.json	.opencode/skills/mcp-code-mode/mcp_server/dist/index.js	missing	none	path in a consumer-owned config in another repository, outside this phase's scope; already missing before the landing and reported rather than fixed
/Users/michelkerkmeester/MEGA/Development/AI Systems	owned-path	opencode.json	.opencode/skills/system-code-graph/mcp_server/database/code-graph.sqlite	missing	none	path in a consumer-owned config in another repository, outside this phase's scope; already missing before the landing and reported rather than fixed
/Users/michelkerkmeester/MEGA/Development/AI Systems	owned-path	opencode.json	.opencode/skills/system-skill-advisor/mcp_server/database	missing	none	path in a consumer-owned config in another repository, outside this phase's scope; already missing before the landing and reported rather than fixed
/Users/michelkerkmeester/MEGA/Development/AI Systems	owned-path	opencode.json	.opencode/skills/system-skill-advisor/mcp_server/database/skill-graph.sqlite	missing	none	path in a consumer-owned config in another repository, outside this phase's scope; already missing before the landing and reported rather than fixed
/Users/michelkerkmeester/MEGA/Development/Mobile CLI	root-file	AGENTS.md	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/AGENTS.md	resolves	none	borrowed root file names .skilled paths after the landing, which is what drives this root's add; the file itself belongs to the main checkout's tracked rewrite
/Users/michelkerkmeester/MEGA/Development/Mobile CLI	root-file	CLAUDE.md	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/AGENTS.md	resolves	none	borrowed root file names .skilled paths after the landing, which is what drives this root's add; the file itself belongs to the main checkout's tracked rewrite
/Users/michelkerkmeester/MEGA/Development/Mobile CLI	owned-path	.mcp.json	.opencode/bin/system-skill-advisor-launcher.cjs	resolves	none	path in a consumer-owned config in another repository, outside this phase's scope; resolves through this repository's own .opencode link and keeps resolving after the move
/Users/michelkerkmeester/MEGA/Development/Mobile CLI	owned-path	.mcp.json	.opencode/bin/system-spec-memory-launcher.cjs	missing	none	path in a consumer-owned config in another repository, outside this phase's scope; already missing before the landing and reported rather than fixed
/Users/michelkerkmeester/MEGA/Development/Mobile CLI	owned-path	.mcp.json	.opencode/skills/mcp-code-mode/mcp-server/dist/index.js	resolves	none	path in a consumer-owned config in another repository, outside this phase's scope; resolves through this repository's own .opencode link and keeps resolving after the move
/Users/michelkerkmeester/MEGA/Development/Mobile CLI	owned-path	.mcp.json	.opencode/skills/system-skill-advisor/mcp-server/database	missing	none	path in a consumer-owned config in another repository, outside this phase's scope; already missing before the landing and reported rather than fixed
/Users/michelkerkmeester/MEGA/Development/Mobile CLI	owned-path	.mcp.json	.opencode/skills/system-skill-advisor/mcp-server/database/skill-graph.sqlite	missing	none	path in a consumer-owned config in another repository, outside this phase's scope; already missing before the landing and reported rather than fixed
/Users/michelkerkmeester/MEGA/Development/Websites/anobel.com	root-file	AGENTS.md	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/AGENTS.md	resolves	none	borrowed root file names .skilled paths after the landing, which is what drives this root's add; the file itself belongs to the main checkout's tracked rewrite
/Users/michelkerkmeester/MEGA/Development/Websites/anobel.com	root-file	CLAUDE.md	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/CLAUDE.md	resolves	none	borrowed root file names .skilled paths after the landing, which is what drives this root's add; the file itself belongs to the main checkout's tracked rewrite
/Users/michelkerkmeester/MEGA/Development/Websites/anobel.com	root-file	opencode.json	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/opencode.json	resolves	none	the linked file is opencode's own configuration, which keeps its .opencode namespace, so it carries no .skilled path that has to resolve
/Users/michelkerkmeester/MEGA/Development/Websites/anobel.com	root-file	.utcp_config.json	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.utcp_config.json	resolves	none	borrowed root file names .skilled/bin/magicpath-utcp-manual.cjs, which is what drives this root's add; the file itself belongs to the main checkout's tracked rewrite
/Users/michelkerkmeester/MEGA/Development/Websites/anobel.com	root-file	.mcp.json	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.mcp.json	resolves	none	borrowed root file names .skilled/bin/mcp-code-mode-launcher.cjs, which is what drives this root's add; the file itself belongs to the main checkout's tracked rewrite
