path	kind	key_or_line	link_target	count	class	reason
/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode/scripts/install-git-hooks.sh	installer-status	exit=0	0	7	installer	The installer's own status from the main checkout (exit 0, none shadowed, seven hooks). The offline relink must reproduce it, and only the installer performs that relink.
/Users/michelkerkmeester/.codex/hooks.json	installer-check	exit=0	install-codex-hooks: OK /Users/michelkerk	1	installer	Generated state, written only by the Codex hooks installer. Its check reports OK and the reinstall must keep that (18 repository entries replaced, 15 third-party kept).
/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public	worktrees	git worktree list	-	29	none	Read-only inventory of the 29 checkouts. It backs the main-checkout confirmation and the rule that no installed hook names a linked worktree.
/Users/michelkerkmeester/.codex/hooks.json	codex-hook-identities	entries=66	opencode=18;skilled=0	18	installer	18 repository hook identities sit under `.opencode/` and none under `.skilled/`. The legacy entries keep resolving through the `.opencode` link, so the installer replaces them, guarded by a dry run (18 added, 18 removed or orphaned, 15 kept).
/Users/michelkerkmeester/.codex/config.toml	codex-config	21	line-numbers-only	1	manual	One trust header a person edits, renaming `.opencode` to `.skilled`. The old path still resolves through the link, but the design moves the key to the real root. Delete the old table instead if a `.skilled` one already exists.
/Users/michelkerkmeester/.codex/config.toml	codex-config-projects	project-headers	-	26	none	Count guard only. The 26 project headers must survive the header rename in the row above. Nothing to edit.
/Users/michelkerkmeester/.hermes/config.yaml	hermes-config	17	mcp_servers.code_mode.args	1	none	Relative launcher argument resolved against every project. Consumer projects expose only `.opencode`, so it is kept by design and no line is edited.
/Users/michelkerkmeester/.claude.json	claude-json	key-path-walk	recorded-prompt	1	record	A recorded prompt in session history. A record, not configuration, and rewriting it would falsify it.
/Users/michelkerkmeester/.zshrc	zshrc	3,32	PATH-entries	2	none	Two PATH entries point at `~/.opencode/bin`, a directory that does not exist and is not this checkout. Stale and out of scope, so no action.
/Users/michelkerkmeester/.pi/agent/SYNC.md	pi-sync	73,75	-	2	manual	Two prose lines a person edits. The derives-from phrase becomes `.skilled/`, and the path becomes one that resolves after the landing. Its old segment is already stale today, so the move did not break it.
/Users/michelkerkmeester/.pi/agent/trust.json	pi-trust	-	-	0	none	Keyed to the checkout root with zero `.opencode` mentions. Leave unchanged, only its checksum is compared.
/Users/michelkerkmeester/.codex/prompts	codex-prompts	files=38	match-repo=22	38	manual	38 pointer stubs that name `.opencode/commands/`. Rewritten by hand for the 23 targets that exist under the moved tree, and only if Codex loads the directory, otherwise they are records. Nothing in the tree writes them.
/Users/michelkerkmeester	home-links	find -maxdepth 4 -type l	into-MAIN	14	none	Aggregate home-link census. The seven global hooks are their own rows. The rest dangle in old prompt-backup and memory directories and name no live root, so no action.
/Users/michelkerkmeester/Library/LaunchAgents	launch-agents	plists	-	0	none	Plist scan. None of the launch agents names `.opencode`, so no action.
crontab	crontab	-	-	0	none	Crontab holds no `.opencode` mention, so no action.
/Users/michelkerkmeester/.zshenv	shell-profile	-	-	0	none	Shell profile with zero `.opencode` mentions, so no action. Stays unchanged.
/Users/michelkerkmeester/.bashrc	shell-profile	-	-	0	none	Shell profile with zero `.opencode` mentions, so no action. Stays unchanged.
/Users/michelkerkmeester/.profile	shell-profile	-	-	0	none	Shell profile with zero `.opencode` mentions, so no action. Stays unchanged.
/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.git/hooks	repo-hook-links	-	into-source-root	6	installer	Six installer-owned links into the source root inside the main checkout's own `.git/hooks`. Shadowed while the global hooks path is set, so no change on this machine. Live only where no global path exists, per the other-machine checklist.
/Users/michelkerkmeester/MEGA/Development/Websites/anobel.com	repo-hooks-path	core.hooksPath	/Users/michelkerkmeester/MEGA/Development/Websites/anobel.com/.git/hooks	1	installer	The other checkout sets its own hooks path, and its six links chain through its `.opencode` link into the main checkout. They keep resolving, and reinstalling from that checkout is only needed if one fails to resolve after the landing.
/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public	main-dirty-source-root	status --porcelain -- .opencode	-	16	none	Landing precondition, not a reference. The main checkout's dirty entries under `.opencode/` must be settled with their owners before the bracket opens.
/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public	main-dirty-tracked	status --porcelain	-	23	none	The main checkout's overall dirty count at census time. Context for the landing gate, no reference.
/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public	main-head	rev-parse HEAD	031bdb64d0	1	none	The main checkout's HEAD at census time. The pre-landing commit to pin, no reference.
git	version	git-version-2.50.1-(Apple-Git-155)	-	1	none	Runtime version evidence (git 2.50.1) for the hook probes. No reference.
codex	version	codex-cli-0.154.0	-	1	none	Runtime version evidence (Codex 0.154.0) for the hooks installer and the prompt-directory question. No reference.
hermes	version	Hermes-Agent-v0.21.1-(2026.9.7)-·-upstream-dc90a75a Install-directory:-/Users/michelkerkmeester/.hermes/hermes-agent Install-method:-git Python:-3.11.13 OpenAI-SDK:-2.24.0 Update-available:-3169-commits-behind-—-run-'hermes-update'	-	1	none	Runtime version evidence (Hermes v0.21.1) for the launcher argument. Multi-line version output, no reference.
python3	version	Python-3.9.6	-	1	none	Runtime version evidence (Python 3.9.6, and no TOML parser, so the config parse proof waits). No reference.
