scenario	verdict	key_metric	detail
411	SKIP	Required MCP tools (memory_save, memory_causal_stats, memory_causal_link, memory_delete) are not available in the current environment.	The scenario requires spec_kit_memory server tools to save three causally-linked memories and query the causal graph, but only code_graph, skill_advisor, code_mode, and cocoindex_code tools are registered. Test files were created then cleaned up without executing the core validation steps.
411	SKIP	Required MCP tools (memory_save, memory_causal_stats, memory_causal_link, memory_delete) are not available in the current environment.	The scenario requires spec_kit_memory server tools to save three causally-linked memories and query the causal graph, but only code_graph, skill_advisor, code_mode, and cocoindex_code tools are registered. Test files were created then cleaned up without executing the core validation steps.
412	FAIL	Missing VERDICT	No 3-line tail.
413	FAIL	Missing VERDICT	No 3-line tail.
412	SKIP	spec_kit_memory MCP server failed to start	The spec_kit_memory server crashes with ERR_MODULE_NOT_FOUND for system-code-graph/mcp_server/lib/index-scope-policy.js, so memory_save, memory_causal_stats, and memory_causal_link are unavailable. The 20 on-disk sandbox files from a prior attempt were removed per CLEAN-UP.
410	PASS	Steady-state p50 latency of 1.43 ms — 140× faster than the 200 ms interactive target.	All 4 targets met on the steady run (p50 1.43 ms, p95 2.91 ms, p99 9.97 ms, 603 qps). Cold run also passed all thresholds (p50 64 ms, p95 102 ms, p99 823 ms, 15.6 qps). No cleanup required; scenario is read-only.
414	FAIL	Missing VERDICT	No 3-line tail.
411	FAIL	0 memories persisted; embedding provider circuit breaker open	Both memory_save (E081) and memory_ingest_start (reported complete but produced zero indexed records) were blocked by the unhealthy llama-cpp embedding backend. The causal graph could not be evaluated because no test memories were created.
412	FAIL	Embedding provider (llama-cpp) healthy=false with 214 failed embeddings blocking all saves.	All 20 memory_save calls failed with E081, preventing any causal-edge derivation or confusion-matrix measurement; on-disk files were cleaned up.
415	FAIL	100% save failure rate (5/5 pre-seed memory_save calls failed with E081)	The local-LLM embedding provider (llama-cpp) is unhealthy with 214 failed embeddings and 85 pending retries, causing all memory_save operations to fail with E081. While 10 concurrent read operations executed successfully with zero errors and no duplicates, the write-path is completely blocked, preventing the concurrent read-write stress test from running as designed.
