area	subarea	path	ext	hit_lines	md_fenced_lines	md_inline_lines	what_it_is	origin	needed_change	class	class_basis	note
ci	workflows	.github/workflows/prompt-card-sync.yml	yml	1			CI workflow — path filters/guard skips scope on `.opencode	authored CI	filters must see `.skilled` too, or guards skip silently	manual	rule:contract-or-ci	defines what .opencode means or scopes a gate on it; a blind rewrite changes behaviour or silences a check
ci	workflows	.github/workflows/repo-rules-corpus.yml	yml	2			CI workflow — path filters/guard skips scope on `.opencode	authored CI	filters must see `.skilled` too, or guards skip silently	manual	rule:contract-or-ci	defines what .opencode means or scopes a gate on it; a blind rewrite changes behaviour or silences a check
ci	workflows	.github/workflows/routing-registry-drift.yml	yml	54			CI workflow — path filters/guard skips scope on `.opencode	authored CI	filters must see `.skilled` too, or guards skip silently	manual	rule:contract-or-ci	defines what .opencode means or scopes a gate on it; a blind rewrite changes behaviour or silences a check
ci	workflows	.github/workflows/rule-canary-sync.yml	yml	1			CI workflow — path filters/guard skips scope on `.opencode	authored CI	filters must see `.skilled` too, or guards skip silently	manual	rule:contract-or-ci	defines what .opencode means or scopes a gate on it; a blind rewrite changes behaviour or silences a check
ci	workflows	.github/workflows/runtime-no-spec-import.yml	yml	7			CI workflow — path filters/guard skips scope on `.opencode	authored CI	filters must see `.skilled` too, or guards skip silently	manual	rule:contract-or-ci	defines what .opencode means or scopes a gate on it; a blind rewrite changes behaviour or silences a check
ci	workflows	.github/workflows/skill-doc-frontmatter.yml	yml	3			CI workflow — path filters/guard skips scope on `.opencode	authored CI	filters must see `.skilled` too, or guards skip silently	manual	rule:contract-or-ci	defines what .opencode means or scopes a gate on it; a blind rewrite changes behaviour or silences a check
ci	workflows	.github/workflows/spec-kit-check.yml	yml	33			CI workflow — path filters/guard skips scope on `.opencode	authored CI	filters must see `.skilled` too, or guards skip silently	manual	rule:contract-or-ci	defines what .opencode means or scopes a gate on it; a blind rewrite changes behaviour or silences a check
ci	workflows	.github/workflows/strict-pass-freshness-report.yml	yml	6			CI workflow — path filters/guard skips scope on `.opencode	authored CI	filters must see `.skilled` too, or guards skip silently	manual	rule:contract-or-ci	defines what .opencode means or scopes a gate on it; a blind rewrite changes behaviour or silences a check
opencode:agents	README.txt	.opencode/agents/README.txt	txt	1			txt content naming `.opencode	authored	mechanical rewrite	mechanical	both-lanes	
opencode:agents	ai-council.md	.opencode/agents/ai-council.md	md	21	3	18	documentation (3 fenced (runnable); 18 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:agents	code.md	.opencode/agents/code.md	md	14	0	14	documentation (14 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:agents	context.md	.opencode/agents/context.md	md	9	0	9	documentation (9 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:agents	debug.md	.opencode/agents/debug.md	md	6	0	6	documentation (6 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:agents	deep-improvement.md	.opencode/agents/deep-improvement.md	md	7	0	7	documentation (7 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:agents	deep-research.md	.opencode/agents/deep-research.md	md	8	1	7	documentation (1 fenced (runnable); 7 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:agents	deep-review.md	.opencode/agents/deep-review.md	md	16	1	15	documentation (1 fenced (runnable); 15 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:agents	design.md	.opencode/agents/design.md	md	14	0	14	documentation (14 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:agents	markdown.md	.opencode/agents/markdown.md	md	24	0	24	documentation (24 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:agents	orchestrate.md	.opencode/agents/orchestrate.md	md	28	3	25	documentation (3 fenced (runnable); 25 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:agents	prompt-improver.md	.opencode/agents/prompt-improver.md	md	9	0	9	documentation (9 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:agents	review.md	.opencode/agents/review.md	md	7	0	7	documentation (7 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:bin	README.md	.opencode/bin/README.md	md	32	15	17	documentation (15 fenced (runnable); 17 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:bin	check-git-hooks.sh	.opencode/bin/check-git-hooks.sh	sh	8			constructs/matches `.opencode` as a contract (sentinel, gate, installer, hook)	authored	decide the contract (compat vs rename) then rewrite; gates self-disengage if missed	manual	rule:contract-or-ci	defines what .opencode means or scopes a gate on it; a blind rewrite changes behaviour or silences a check
opencode:bin	check-no-spec-imports.cjs	.opencode/bin/check-no-spec-imports.cjs	cjs	9			constructs/matches `.opencode` as a contract (sentinel, gate, installer, hook)	authored	decide the contract (compat vs rename) then rewrite; gates self-disengage if missed	manual	rule:contract-or-ci	defines what .opencode means or scopes a gate on it; a blind rewrite changes behaviour or silences a check
opencode:bin	compiled-route-guard.cjs	.opencode/bin/compiled-route-guard.cjs	cjs	2			code referencing `.opencode` paths	authored code	rewrite path refs at the cited lines (or compat)	mechanical	both-lanes	
opencode:bin	compiled-route-status.cjs	.opencode/bin/compiled-route-status.cjs	cjs	2			code referencing `.opencode` paths	authored code	rewrite path refs at the cited lines (or compat)	mechanical	both-lanes	
opencode:bin	compiled-route-sync.cjs	.opencode/bin/compiled-route-sync.cjs	cjs	7			code referencing `.opencode` paths	authored code	rewrite path refs at the cited lines (or compat)	mechanical	both-lanes	
opencode:bin	compiled-routing-foundation.vitest.ts	.opencode/bin/compiled-routing-foundation.vitest.ts	ts	4			test asserting/constructing `.opencode` paths	authored test	expectations follow the emitted path — mechanical rewrite where the code switches to `.skilled	mechanical	both-lanes	
opencode:bin	git-live-follow.sh	.opencode/bin/git-live-follow.sh	sh	5			code referencing `.opencode` paths	authored code	rewrite path refs at the cited lines (or compat)	mechanical	both-lanes	
opencode:bin	git-primary-reconcile.sh	.opencode/bin/git-primary-reconcile.sh	sh	2			code referencing `.opencode` paths	authored code	rewrite path refs at the cited lines (or compat)	mechanical	both-lanes	
opencode:bin	git-sync.sh	.opencode/bin/git-sync.sh	sh	3			code referencing `.opencode` paths	authored code	rewrite path refs at the cited lines (or compat)	mechanical	both-lanes	
opencode:bin	hf-model-server.cjs	.opencode/bin/hf-model-server.cjs	cjs	1			code referencing `.opencode` paths	authored code	rewrite path refs at the cited lines (or compat)	mechanical	both-lanes	
opencode:bin	install-codex-hooks.mjs	.opencode/bin/install-codex-hooks.mjs	mjs	4			constructs/matches `.opencode` as a contract (sentinel, gate, installer, hook)	authored	decide the contract (compat vs rename) then rewrite; gates self-disengage if missed	manual	rule:contract-or-ci	defines what .opencode means or scopes a gate on it; a blind rewrite changes behaviour or silences a check
opencode:bin	lib	.opencode/bin/lib/README.md	md	4	4	0	documentation (4 fenced (runnable))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:bin	lib	.opencode/bin/lib/compiled-route-manifest.cjs	cjs	1			code referencing `.opencode` paths	authored code	rewrite path refs at the cited lines (or compat)	mechanical	both-lanes	
opencode:bin	lib	.opencode/bin/lib/compiled-routing/009-parent-hub-rollout/001-sk-code/harness/build-artifacts.cjs	cjs	2			code referencing `.opencode` paths	authored code	rewrite path refs at the cited lines (or compat)	mechanical	both-lanes	
opencode:bin	lib	.opencode/bin/lib/compiled-routing/009-parent-hub-rollout/002-system-deep-loop/harness/build-artifacts.cjs	cjs	2			code referencing `.opencode` paths	authored code	rewrite path refs at the cited lines (or compat)	mechanical	both-lanes	
opencode:bin	lib	.opencode/bin/lib/compiled-routing/009-parent-hub-rollout/003-mcp-tooling/harness/build-artifacts.cjs	cjs	2			code referencing `.opencode` paths	authored code	rewrite path refs at the cited lines (or compat)	mechanical	both-lanes	
opencode:bin	lib	.opencode/bin/lib/compiled-routing/009-parent-hub-rollout/004-cli-external-orchestration/harness/build-artifacts.cjs	cjs	2			code referencing `.opencode` paths	authored code	rewrite path refs at the cited lines (or compat)	mechanical	both-lanes	
opencode:bin	lib	.opencode/bin/lib/compiled-routing/009-parent-hub-rollout/007-sk-doc/harness/build-artifacts.cjs	cjs	2			code referencing `.opencode` paths	authored code	rewrite path refs at the cited lines (or compat)	mechanical	both-lanes	
opencode:bin	lib	.opencode/bin/lib/compiled-routing/serving-closure.manifest.json	json	1			json content naming `.opencode	authored	mechanical rewrite	regenerate	rule:generated	rebuilt by compiled-route-sync.cjs
opencode:bin	lib	.opencode/bin/lib/launcher-ipc-bridge.cjs	cjs	1			code referencing `.opencode` paths	authored code	rewrite path refs at the cited lines (or compat)	mechanical	both-lanes	
opencode:bin	lib	.opencode/bin/lib/model-server-supervision.cjs	cjs	2			code referencing `.opencode` paths	authored code	rewrite path refs at the cited lines (or compat)	mechanical	both-lanes	
opencode:bin	mcp-code-mode-launcher.cjs	.opencode/bin/mcp-code-mode-launcher.cjs	cjs	1			constructs/matches `.opencode` as a contract (sentinel, gate, installer, hook)	authored	decide the contract (compat vs rename) then rewrite; gates self-disengage if missed	manual	rule:contract-or-ci	defines what .opencode means or scopes a gate on it; a blind rewrite changes behaviour or silences a check
opencode:bin	relink-local-specs.sh	.opencode/bin/relink-local-specs.sh	sh	1			constructs/matches `.opencode` as a contract (sentinel, gate, installer, hook)	authored	decide the contract (compat vs rename) then rewrite; gates self-disengage if missed	manual	rule:contract-or-ci	defines what .opencode means or scopes a gate on it; a blind rewrite changes behaviour or silences a check
opencode:bin	system-skill-advisor-launcher.cjs	.opencode/bin/system-skill-advisor-launcher.cjs	cjs	1			code referencing `.opencode` paths	authored code	rewrite path refs at the cited lines (or compat)	mechanical	both-lanes	
opencode:bin	tests	.opencode/bin/tests/compiled-route-manifest.test.cjs	cjs	9			test asserting/constructing `.opencode` paths	authored test	expectations follow the emitted path — mechanical rewrite where the code switches to `.skilled	mechanical	both-lanes	
opencode:bin	tests	.opencode/bin/tests/fixtures/no-spec-import/negative/clean-runtime.cjs	cjs	1			test asserting/constructing `.opencode` paths	authored test	expectations follow the emitted path — mechanical rewrite where the code switches to `.skilled	manual	rule:recorded-fixture (judgment)	recorded or golden fixture; rewrite only together with the assertion that reads it
opencode:bin	worktree-guard.sh	.opencode/bin/worktree-guard.sh	sh	4			code referencing `.opencode` paths	authored code	rewrite path refs at the cited lines (or compat)	mechanical	both-lanes	
opencode:bin	worktree-session.sh	.opencode/bin/worktree-session.sh	sh	7			constructs/matches `.opencode` as a contract (sentinel, gate, installer, hook)	authored	decide the contract (compat vs rename) then rewrite; gates self-disengage if missed	manual	rule:contract-or-ci	defines what .opencode means or scopes a gate on it; a blind rewrite changes behaviour or silences a check
opencode:commands	README.txt	.opencode/commands/README.txt	txt	1			txt content naming `.opencode	authored	mechanical rewrite	mechanical	both-lanes	
opencode:commands	agent-router.md	.opencode/commands/agent-router.md	md	1	0	1	documentation (1 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:commands	create	.opencode/commands/create/README.txt	txt	3			txt content naming `.opencode	authored	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/agent.md	md	7	0	7	documentation (7 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:commands	create	.opencode/commands/create/assets/create-agent-auto.yaml	yaml	14			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/create-agent-confirm.yaml	yaml	16			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/create-agent-presentation.txt	txt	1			txt content naming `.opencode	authored	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/create-benchmark-auto.yaml	yaml	15			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/create-benchmark-confirm.yaml	yaml	15			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/create-benchmark-presentation.txt	txt	6			txt content naming `.opencode	authored	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/create-changelog-auto.yaml	yaml	23			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/create-changelog-confirm.yaml	yaml	22			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/create-command-auto.yaml	yaml	20			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/create-command-confirm.yaml	yaml	16			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/create-command-presentation.txt	txt	7			txt content naming `.opencode	authored	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/create-diff-auto.yaml	yaml	28			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/create-diff-confirm.yaml	yaml	28			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/create-diff-presentation.txt	txt	7			txt content naming `.opencode	authored	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/create-feature-catalog-auto.yaml	yaml	18			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/create-feature-catalog-confirm.yaml	yaml	18			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/create-feature-catalog-presentation.txt	txt	3			txt content naming `.opencode	authored	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/create-manual-testing-playbook-auto.yaml	yaml	18			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/create-manual-testing-playbook-confirm.yaml	yaml	18			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/create-manual-testing-playbook-presentation.txt	txt	3			txt content naming `.opencode	authored	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/create-readme-auto.yaml	yaml	21			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/create-readme-confirm.yaml	yaml	23			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/create-readme-presentation.txt	txt	2			txt content naming `.opencode	authored	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/create-repo-rule-auto.yaml	yaml	7			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/create-repo-rule-confirm.yaml	yaml	7			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/create-skill-auto.yaml	yaml	29			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/create-skill-confirm.yaml	yaml	30			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/create-skill-parent-auto.yaml	yaml	29			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/create-skill-parent-confirm.yaml	yaml	28			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/create-skill-parent-presentation.txt	txt	6			txt content naming `.opencode	authored	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/create-skill-presentation.txt	txt	5			txt content naming `.opencode	authored	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/create-with-human-voice-auto.yaml	yaml	8			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/create-with-human-voice-confirm.yaml	yaml	8			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/tests/fixtures/emitted-name-contract.json	json	4			test asserting/constructing `.opencode` paths	authored test	expectations follow the emitted path — mechanical rewrite where the code switches to `.skilled	manual	rule:recorded-fixture (judgment)	recorded or golden fixture; rewrite only together with the assertion that reads it
opencode:commands	create	.opencode/commands/create/assets/tests/test_emitted_name_contract.py	py	1			test asserting/constructing `.opencode` paths	authored test	expectations follow the emitted path — mechanical rewrite where the code switches to `.skilled	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/assets/tests/test_skill_parent_router_parity.py	py	5			test asserting/constructing `.opencode` paths	authored test	expectations follow the emitted path — mechanical rewrite where the code switches to `.skilled	mechanical	both-lanes	
opencode:commands	create	.opencode/commands/create/benchmark.md	md	7	0	7	documentation (7 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:commands	create	.opencode/commands/create/changelog.md	md	7	0	7	documentation (7 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:commands	create	.opencode/commands/create/command.md	md	7	0	7	documentation (7 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:commands	create	.opencode/commands/create/diff.md	md	7	0	7	documentation (7 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:commands	create	.opencode/commands/create/feature-catalog.md	md	7	0	7	documentation (7 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:commands	create	.opencode/commands/create/manual-testing-playbook.md	md	7	0	7	documentation (7 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:commands	create	.opencode/commands/create/readme.md	md	7	0	7	documentation (7 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:commands	create	.opencode/commands/create/repo-rule.md	md	6	0	6	documentation (6 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:commands	create	.opencode/commands/create/skill-parent.md	md	8	0	8	documentation (8 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:commands	create	.opencode/commands/create/skill.md	md	7	0	7	documentation (7 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:commands	create	.opencode/commands/create/with-human-voice.md	md	8	0	8	documentation (8 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:commands	deep	.opencode/commands/deep/agent-improvement.md	md	9	0	9	documentation (9 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:commands	deep	.opencode/commands/deep/ai-council.md	md	6	0	6	documentation (6 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:commands	deep	.opencode/commands/deep/assets/compiled/README.md	md	3	2	1	compiled command contract	generated — `compile-command-contracts.cjs	regenerate	regenerate	swe2 only	
opencode:commands	deep	.opencode/commands/deep/assets/compiled/deep-ai-council.contract.md	md	72	9	63	compiled command contract	generated — `compile-command-contracts.cjs	regenerate	regenerate	swe2 only	
opencode:commands	deep	.opencode/commands/deep/assets/compiled/deep-research.contract.md	md	52	9	43	compiled command contract	generated — `compile-command-contracts.cjs	regenerate	regenerate	swe2 only	
opencode:commands	deep	.opencode/commands/deep/assets/compiled/deep-review.contract.md	md	51	9	42	compiled command contract	generated — `compile-command-contracts.cjs	regenerate	regenerate	swe2 only	
opencode:commands	deep	.opencode/commands/deep/assets/deep-agent-improvement-auto.yaml	yaml	40			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	deep	.opencode/commands/deep/assets/deep-agent-improvement-confirm.yaml	yaml	41			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	deep	.opencode/commands/deep/assets/deep-agent-improvement-presentation.txt	txt	25			txt content naming `.opencode	authored	mechanical rewrite	mechanical	both-lanes	
opencode:commands	deep	.opencode/commands/deep/assets/deep-ai-council-auto.yaml	yaml	22			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	deep	.opencode/commands/deep/assets/deep-ai-council-confirm.yaml	yaml	21			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	deep	.opencode/commands/deep/assets/deep-ai-council-presentation.txt	txt	15			txt content naming `.opencode	authored	mechanical rewrite	mechanical	both-lanes	
opencode:commands	deep	.opencode/commands/deep/assets/deep-model-benchmark-auto.yaml	yaml	29			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	deep	.opencode/commands/deep/assets/deep-model-benchmark-confirm.yaml	yaml	32			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	deep	.opencode/commands/deep/assets/deep-model-benchmark-presentation.txt	txt	30			txt content naming `.opencode	authored	mechanical rewrite	mechanical	both-lanes	
opencode:commands	deep	.opencode/commands/deep/assets/deep-research-auto.yaml	yaml	88			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	deep	.opencode/commands/deep/assets/deep-research-confirm.yaml	yaml	57			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	deep	.opencode/commands/deep/assets/deep-research-presentation.txt	txt	17			txt content naming `.opencode	authored	mechanical rewrite	mechanical	both-lanes	
opencode:commands	deep	.opencode/commands/deep/assets/deep-review-auto.yaml	yaml	83			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	deep	.opencode/commands/deep/assets/deep-review-confirm.yaml	yaml	60			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
opencode:commands	deep	.opencode/commands/deep/assets/deep-review-presentation.txt	txt	19			txt content naming `.opencode	authored	mechanical rewrite	mechanical	both-lanes	
opencode:commands	deep	.opencode/commands/deep/assets/legacy/README.md	md	6	4	2	documentation (4 fenced (runnable); 2 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:commands	deep	.opencode/commands/deep/assets/legacy/deep-ai-council.body.md	md	6	0	6	documentation (6 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:commands	deep	.opencode/commands/deep/assets/legacy/deep-research.body.md	md	9	0	9	documentation (9 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:commands	deep	.opencode/commands/deep/assets/legacy/deep-review.body.md	md	6	0	6	documentation (6 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:commands	deep	.opencode/commands/deep/model-benchmark.md	md	9	0	9	documentation (9 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:commands	deep	.opencode/commands/deep/research.md	md	9	0	9	documentation (9 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
opencode:commands	deep	.opencode/commands/deep/review.md	md	6	0	6	documentation (6 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
