root	link	raw_target	target_kind	resolves_into_opencode	dangling	origin	class	target_if_opencode_compat_kept	target_if_no_compat	class_basis	note
.claude	.claude/commands/deep/research.md	../../../.opencode/commands/deep/research.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../../.opencode/commands/deep/research.md	../../../.skilled/commands/deep/research.md	both-lanes	
.claude	.claude/commands/deep/review.md	../../../.opencode/commands/deep/review.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../../.opencode/commands/deep/review.md	../../../.skilled/commands/deep/review.md	both-lanes	
.claude	.claude/commands/design/chart.md	../../../.opencode/commands/design/chart.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../../.opencode/commands/design/chart.md	../../../.skilled/commands/design/chart.md	both-lanes	
.claude	.claude/commands/design/diagram.md	../../../.opencode/commands/design/diagram.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../../.opencode/commands/design/diagram.md	../../../.skilled/commands/design/diagram.md	both-lanes	
.claude	.claude/commands/design/extract.md	../../../.opencode/commands/design/extract.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../../.opencode/commands/design/extract.md	../../../.skilled/commands/design/extract.md	both-lanes	
.claude	.claude/commands/doctor/mcp.md	../../../.opencode/commands/doctor/mcp.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../../.opencode/commands/doctor/mcp.md	../../../.skilled/commands/doctor/mcp.md	both-lanes	
.claude	.claude/commands/doctor/speckit.md	../../../.opencode/commands/doctor/speckit.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../../.opencode/commands/doctor/speckit.md	../../../.skilled/commands/doctor/speckit.md	both-lanes	
.claude	.claude/commands/doctor/update.md	../../../.opencode/commands/doctor/update.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../../.opencode/commands/doctor/update.md	../../../.skilled/commands/doctor/update.md	both-lanes	
.claude	.claude/commands/prompt/improve.md	../../../.opencode/commands/prompt/improve.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../../.opencode/commands/prompt/improve.md	../../../.skilled/commands/prompt/improve.md	both-lanes	
.claude	.claude/commands/rewrite/response-by-external-agent.md	../../../.opencode/commands/rewrite/response-by-external-agent.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../../.opencode/commands/rewrite/response-by-external-agent.md	../../../.skilled/commands/rewrite/response-by-external-agent.md	both-lanes	
.claude	.claude/commands/rewrite/response.md	../../../.opencode/commands/rewrite/response.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../../.opencode/commands/rewrite/response.md	../../../.skilled/commands/rewrite/response.md	both-lanes	
.claude	.claude/commands/speckit/complete.md	../../../.opencode/commands/speckit/complete.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../../.opencode/commands/speckit/complete.md	../../../.skilled/commands/speckit/complete.md	both-lanes	
.claude	.claude/commands/speckit/implement.md	../../../.opencode/commands/speckit/implement.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../../.opencode/commands/speckit/implement.md	../../../.skilled/commands/speckit/implement.md	both-lanes	
.claude	.claude/commands/speckit/plan.md	../../../.opencode/commands/speckit/plan.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../../.opencode/commands/speckit/plan.md	../../../.skilled/commands/speckit/plan.md	both-lanes	
.claude	.claude/commands/speckit/resume.md	../../../.opencode/commands/speckit/resume.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../../.opencode/commands/speckit/resume.md	../../../.skilled/commands/speckit/resume.md	both-lanes	
.claude	.claude/commands/speckit/save.md	../../../.opencode/commands/speckit/save.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../../.opencode/commands/speckit/save.md	../../../.skilled/commands/speckit/save.md	both-lanes	
.claude	.claude/commands/speckit/search.md	../../../.opencode/commands/speckit/search.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../../.opencode/commands/speckit/search.md	../../../.skilled/commands/speckit/search.md	both-lanes	
.claude	.claude/hooks/check-dist-staleness.sh	../../.opencode/skills/sk-code/sk-code-quality/scripts/check-dist-staleness.sh	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-hooks`, sources read from `.claude/settings.json	regenerate	../../.opencode/skills/sk-code/sk-code-quality/scripts/check-dist-staleness.sh	../../.skilled/skills/sk-code/sk-code-quality/scripts/check-dist-staleness.sh	both-lanes	
.claude	.claude/hooks/check-git-hooks.sh	../../.opencode/bin/check-git-hooks.sh	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-hooks`, sources read from `.claude/settings.json	regenerate	../../.opencode/bin/check-git-hooks.sh	../../.skilled/bin/check-git-hooks.sh	both-lanes	
.claude	.claude/hooks/claude-posttooluse.cjs	../../.opencode/hooks/post-edit-quality/claude/claude-posttooluse.cjs	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-hooks`, sources read from `.claude/settings.json	regenerate	../../.opencode/hooks/post-edit-quality/claude/claude-posttooluse.cjs	../../.skilled/hooks/post-edit-quality/claude/claude-posttooluse.cjs	both-lanes	
.claude	.claude/hooks/compact-inject.js	../../.opencode/skills/system-spec-kit/runtime/dist/hooks/claude/compact-inject.js	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-hooks`, sources read from `.claude/settings.json	regenerate	../../.opencode/skills/system-spec-kit/runtime/dist/hooks/claude/compact-inject.js	../../.skilled/skills/system-spec-kit/runtime/dist/hooks/claude/compact-inject.js	both-lanes	
.claude	.claude/hooks/completion-evidence-stop.cjs	../../.opencode/skills/system-spec-kit/runtime/hooks/claude/completion-evidence-stop.cjs	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-hooks`, sources read from `.claude/settings.json	regenerate	../../.opencode/skills/system-spec-kit/runtime/hooks/claude/completion-evidence-stop.cjs	../../.skilled/skills/system-spec-kit/runtime/hooks/claude/completion-evidence-stop.cjs	both-lanes	
.claude	.claude/hooks/dispatch-audit-posttooluse.mjs	../../.opencode/hooks/dispatch/claude/dispatch-audit-posttooluse.mjs	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-hooks`, sources read from `.claude/settings.json	regenerate	../../.opencode/hooks/dispatch/claude/dispatch-audit-posttooluse.mjs	../../.skilled/hooks/dispatch/claude/dispatch-audit-posttooluse.mjs	both-lanes	
.claude	.claude/hooks/dispatch-preflight-lint.mjs	../../.opencode/hooks/dispatch/claude/dispatch-preflight-lint.mjs	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-hooks`, sources read from `.claude/settings.json	regenerate	../../.opencode/hooks/dispatch/claude/dispatch-preflight-lint.mjs	../../.skilled/hooks/dispatch/claude/dispatch-preflight-lint.mjs	both-lanes	
.claude	.claude/hooks/fable-subagent-guard.mjs	../../.opencode/hooks/task-dispatch/claude/fable-subagent-guard.mjs	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-hooks`, sources read from `.claude/settings.json	regenerate	../../.opencode/hooks/task-dispatch/claude/fable-subagent-guard.mjs	../../.skilled/hooks/task-dispatch/claude/fable-subagent-guard.mjs	both-lanes	
.claude	.claude/hooks/git-live-follow.sh	../../.opencode/bin/git-live-follow.sh	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-hooks`, sources read from `.claude/settings.json	regenerate	../../.opencode/bin/git-live-follow.sh	../../.skilled/bin/git-live-follow.sh	both-lanes	
.claude	.claude/hooks/git-preflight-advisory.mjs	../../.opencode/skills/sk-git/scripts/hooks/git-preflight-advisory.mjs	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-hooks`, sources read from `.claude/settings.json	regenerate	../../.opencode/skills/sk-git/scripts/hooks/git-preflight-advisory.mjs	../../.skilled/skills/sk-git/scripts/hooks/git-preflight-advisory.mjs	both-lanes	
.claude	.claude/hooks/git-primary-reconcile.sh	../../.opencode/bin/git-primary-reconcile.sh	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-hooks`, sources read from `.claude/settings.json	regenerate	../../.opencode/bin/git-primary-reconcile.sh	../../.skilled/bin/git-primary-reconcile.sh	both-lanes	
.claude	.claude/hooks/install-codex-hooks.mjs	../../.opencode/bin/install-codex-hooks.mjs	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-hooks`, sources read from `.claude/settings.json	regenerate	../../.opencode/bin/install-codex-hooks.mjs	../../.skilled/bin/install-codex-hooks.mjs	both-lanes	
.claude	.claude/hooks/mcp-route-guard.cjs	../../.opencode/hooks/mcp-route-guard/claude/mcp-route-guard.cjs	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-hooks`, sources read from `.claude/settings.json	regenerate	../../.opencode/hooks/mcp-route-guard/claude/mcp-route-guard.cjs	../../.skilled/hooks/mcp-route-guard/claude/mcp-route-guard.cjs	both-lanes	
.claude	.claude/hooks/session-cleanup.sh	../../.opencode/scripts/session-cleanup.sh	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-hooks`, sources read from `.claude/settings.json	regenerate	../../.opencode/scripts/session-cleanup.sh	../../.skilled/scripts/session-cleanup.sh	both-lanes	
.claude	.claude/hooks/session-prime.js	../../.opencode/skills/system-spec-kit/runtime/dist/hooks/claude/session-prime.js	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-hooks`, sources read from `.claude/settings.json	regenerate	../../.opencode/skills/system-spec-kit/runtime/dist/hooks/claude/session-prime.js	../../.skilled/skills/system-spec-kit/runtime/dist/hooks/claude/session-prime.js	both-lanes	
.claude	.claude/hooks/session-stop.js	../../.opencode/skills/system-spec-kit/runtime/dist/hooks/claude/session-stop.js	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-hooks`, sources read from `.claude/settings.json	regenerate	../../.opencode/skills/system-spec-kit/runtime/dist/hooks/claude/session-stop.js	../../.skilled/skills/system-spec-kit/runtime/dist/hooks/claude/session-stop.js	both-lanes	
.claude	.claude/hooks/spec-gate-classify.mjs	../../.opencode/skills/system-spec-kit/runtime/hooks/claude/spec-gate-classify.mjs	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-hooks`, sources read from `.claude/settings.json	regenerate	../../.opencode/skills/system-spec-kit/runtime/hooks/claude/spec-gate-classify.mjs	../../.skilled/skills/system-spec-kit/runtime/hooks/claude/spec-gate-classify.mjs	both-lanes	
.claude	.claude/hooks/spec-gate-enforce.mjs	../../.opencode/skills/system-spec-kit/runtime/hooks/claude/spec-gate-enforce.mjs	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-hooks`, sources read from `.claude/settings.json	regenerate	../../.opencode/skills/system-spec-kit/runtime/hooks/claude/spec-gate-enforce.mjs	../../.skilled/skills/system-spec-kit/runtime/hooks/claude/spec-gate-enforce.mjs	both-lanes	
.claude	.claude/hooks/task-dispatch-guard.cjs	../../.opencode/hooks/task-dispatch/claude/task-dispatch-guard.cjs	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-hooks`, sources read from `.claude/settings.json	regenerate	../../.opencode/hooks/task-dispatch/claude/task-dispatch-guard.cjs	../../.skilled/hooks/task-dispatch/claude/task-dispatch-guard.cjs	both-lanes	
.claude	.claude/hooks/user-prompt-submit.js	../../.opencode/skills/system-spec-kit/runtime/dist/hooks/claude/user-prompt-submit.js	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-hooks`, sources read from `.claude/settings.json	regenerate	../../.opencode/skills/system-spec-kit/runtime/dist/hooks/claude/user-prompt-submit.js	../../.skilled/skills/system-spec-kit/runtime/dist/hooks/claude/user-prompt-submit.js	both-lanes	
.claude	.claude/hooks/worktree-guard.sh	../../.opencode/bin/worktree-guard.sh	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-hooks`, sources read from `.claude/settings.json	regenerate	../../.opencode/bin/worktree-guard.sh	../../.skilled/bin/worktree-guard.sh	both-lanes	
.claude	.claude/manual-testing-playbook	../.opencode/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook	relative	yes	no	hand-made	mechanical	../.opencode/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook	../.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook	both-lanes	
.claude	.claude/skills	../.opencode/skills	relative	yes	no	hand-made	mechanical	../.opencode/skills	../.skilled/skills	both-lanes	
.codex	.codex/hooks/check-dist-staleness.sh	../../.opencode/skills/sk-code/sk-code-quality/scripts/check-dist-staleness.sh	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `codex-hooks`, sources read from `.codex/hooks.json	regenerate	../../.opencode/skills/sk-code/sk-code-quality/scripts/check-dist-staleness.sh	../../.skilled/skills/sk-code/sk-code-quality/scripts/check-dist-staleness.sh	both-lanes	
.codex	.codex/hooks/check-git-hooks.sh	../../.opencode/bin/check-git-hooks.sh	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `codex-hooks`, sources read from `.codex/hooks.json	regenerate	../../.opencode/bin/check-git-hooks.sh	../../.skilled/bin/check-git-hooks.sh	both-lanes	
.codex	.codex/hooks/compact-inject.js	../../.opencode/skills/system-spec-kit/runtime/dist/hooks/codex/compact-inject.js	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `codex-hooks`, sources read from `.codex/hooks.json	regenerate	../../.opencode/skills/system-spec-kit/runtime/dist/hooks/codex/compact-inject.js	../../.skilled/skills/system-spec-kit/runtime/dist/hooks/codex/compact-inject.js	both-lanes	
.codex	.codex/hooks/completion-evidence-stop.cjs	../../.opencode/skills/system-spec-kit/runtime/hooks/codex/completion-evidence-stop.cjs	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `codex-hooks`, sources read from `.codex/hooks.json	regenerate	../../.opencode/skills/system-spec-kit/runtime/hooks/codex/completion-evidence-stop.cjs	../../.skilled/skills/system-spec-kit/runtime/hooks/codex/completion-evidence-stop.cjs	both-lanes	
.codex	.codex/hooks/dispatch-audit-posttooluse.mjs	../../.opencode/hooks/dispatch/codex/dispatch-audit-posttooluse.mjs	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `codex-hooks`, sources read from `.codex/hooks.json	regenerate	../../.opencode/hooks/dispatch/codex/dispatch-audit-posttooluse.mjs	../../.skilled/hooks/dispatch/codex/dispatch-audit-posttooluse.mjs	both-lanes	
.codex	.codex/hooks/dispatch-preflight-lint.mjs	../../.opencode/hooks/dispatch/codex/dispatch-preflight-lint.mjs	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `codex-hooks`, sources read from `.codex/hooks.json	regenerate	../../.opencode/hooks/dispatch/codex/dispatch-preflight-lint.mjs	../../.skilled/hooks/dispatch/codex/dispatch-preflight-lint.mjs	both-lanes	
.codex	.codex/hooks/git-live-follow.sh	../../.opencode/bin/git-live-follow.sh	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `codex-hooks`, sources read from `.codex/hooks.json	regenerate	../../.opencode/bin/git-live-follow.sh	../../.skilled/bin/git-live-follow.sh	both-lanes	
.codex	.codex/hooks/git-preflight-advisory.mjs	../../.opencode/skills/sk-git/scripts/hooks/git-preflight-advisory.mjs	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `codex-hooks`, sources read from `.codex/hooks.json	regenerate	../../.opencode/skills/sk-git/scripts/hooks/git-preflight-advisory.mjs	../../.skilled/skills/sk-git/scripts/hooks/git-preflight-advisory.mjs	both-lanes	
.codex	.codex/hooks/git-primary-reconcile.sh	../../.opencode/bin/git-primary-reconcile.sh	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `codex-hooks`, sources read from `.codex/hooks.json	regenerate	../../.opencode/bin/git-primary-reconcile.sh	../../.skilled/bin/git-primary-reconcile.sh	both-lanes	
.codex	.codex/hooks/mcp-route-guard.cjs	../../.opencode/hooks/mcp-route-guard/codex/mcp-route-guard.cjs	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `codex-hooks`, sources read from `.codex/hooks.json	regenerate	../../.opencode/hooks/mcp-route-guard/codex/mcp-route-guard.cjs	../../.skilled/hooks/mcp-route-guard/codex/mcp-route-guard.cjs	both-lanes	
.codex	.codex/hooks/post-edit-quality.cjs	../../.opencode/hooks/post-edit-quality/codex/post-edit-quality.cjs	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `codex-hooks`, sources read from `.codex/hooks.json	regenerate	../../.opencode/hooks/post-edit-quality/codex/post-edit-quality.cjs	../../.skilled/hooks/post-edit-quality/codex/post-edit-quality.cjs	both-lanes	
.codex	.codex/hooks/session-cleanup.sh	../../.opencode/scripts/session-cleanup.sh	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `codex-hooks`, sources read from `.codex/hooks.json	regenerate	../../.opencode/scripts/session-cleanup.sh	../../.skilled/scripts/session-cleanup.sh	both-lanes	
.codex	.codex/hooks/session-start.js	../../.opencode/skills/system-spec-kit/runtime/dist/hooks/codex/session-start.js	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `codex-hooks`, sources read from `.codex/hooks.json	regenerate	../../.opencode/skills/system-spec-kit/runtime/dist/hooks/codex/session-start.js	../../.skilled/skills/system-spec-kit/runtime/dist/hooks/codex/session-start.js	both-lanes	
.codex	.codex/hooks/session-stop.js	../../.opencode/skills/system-spec-kit/runtime/dist/hooks/codex/session-stop.js	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `codex-hooks`, sources read from `.codex/hooks.json	regenerate	../../.opencode/skills/system-spec-kit/runtime/dist/hooks/codex/session-stop.js	../../.skilled/skills/system-spec-kit/runtime/dist/hooks/codex/session-stop.js	both-lanes	
.codex	.codex/hooks/spec-gate-classify.mjs	../../.opencode/skills/system-spec-kit/runtime/hooks/codex/spec-gate-classify.mjs	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `codex-hooks`, sources read from `.codex/hooks.json	regenerate	../../.opencode/skills/system-spec-kit/runtime/hooks/codex/spec-gate-classify.mjs	../../.skilled/skills/system-spec-kit/runtime/hooks/codex/spec-gate-classify.mjs	both-lanes	
.codex	.codex/hooks/spec-gate-enforce.mjs	../../.opencode/skills/system-spec-kit/runtime/hooks/codex/spec-gate-enforce.mjs	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `codex-hooks`, sources read from `.codex/hooks.json	regenerate	../../.opencode/skills/system-spec-kit/runtime/hooks/codex/spec-gate-enforce.mjs	../../.skilled/skills/system-spec-kit/runtime/hooks/codex/spec-gate-enforce.mjs	both-lanes	
.codex	.codex/hooks/user-prompt-submit.js	../../.opencode/skills/system-spec-kit/runtime/dist/hooks/codex/user-prompt-submit.js	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `codex-hooks`, sources read from `.codex/hooks.json	regenerate	../../.opencode/skills/system-spec-kit/runtime/dist/hooks/codex/user-prompt-submit.js	../../.skilled/skills/system-spec-kit/runtime/dist/hooks/codex/user-prompt-submit.js	both-lanes	
.codex	.codex/hooks/worktree-guard.sh	../../.opencode/bin/worktree-guard.sh	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `codex-hooks`, sources read from `.codex/hooks.json	regenerate	../../.opencode/bin/worktree-guard.sh	../../.skilled/bin/worktree-guard.sh	both-lanes	
.codex	.codex/manual-testing-playbook	../.opencode/skills/cli-external-orchestration/cli-codex/manual-testing-playbook	relative	yes	no	hand-made	mechanical	../.opencode/skills/cli-external-orchestration/cli-codex/manual-testing-playbook	../.skilled/skills/cli-external-orchestration/cli-codex/manual-testing-playbook	both-lanes	
.cursor	.cursor/agents/ai-council.md	../../.claude/agents/ai-council.md	relative	no	no	generated — sync-runtime-mirrors.cjs tree `cursor-agents`, canonical source `.claude/agents	none	unchanged (target outside .opencode does not move)	unchanged (target outside .opencode does not move)	both-lanes	
.cursor	.cursor/agents/code.md	../../.claude/agents/code.md	relative	no	no	generated — sync-runtime-mirrors.cjs tree `cursor-agents`, canonical source `.claude/agents	none	unchanged (target outside .opencode does not move)	unchanged (target outside .opencode does not move)	both-lanes	
.cursor	.cursor/agents/context.md	../../.claude/agents/context.md	relative	no	no	generated — sync-runtime-mirrors.cjs tree `cursor-agents`, canonical source `.claude/agents	none	unchanged (target outside .opencode does not move)	unchanged (target outside .opencode does not move)	both-lanes	
.cursor	.cursor/agents/debug.md	../../.claude/agents/debug.md	relative	no	no	generated — sync-runtime-mirrors.cjs tree `cursor-agents`, canonical source `.claude/agents	none	unchanged (target outside .opencode does not move)	unchanged (target outside .opencode does not move)	both-lanes	
.cursor	.cursor/agents/deep-improvement.md	../../.claude/agents/deep-improvement.md	relative	no	no	generated — sync-runtime-mirrors.cjs tree `cursor-agents`, canonical source `.claude/agents	none	unchanged (target outside .opencode does not move)	unchanged (target outside .opencode does not move)	both-lanes	
.cursor	.cursor/agents/deep-research.md	../../.claude/agents/deep-research.md	relative	no	no	generated — sync-runtime-mirrors.cjs tree `cursor-agents`, canonical source `.claude/agents	none	unchanged (target outside .opencode does not move)	unchanged (target outside .opencode does not move)	both-lanes	
.cursor	.cursor/agents/deep-review.md	../../.claude/agents/deep-review.md	relative	no	no	generated — sync-runtime-mirrors.cjs tree `cursor-agents`, canonical source `.claude/agents	none	unchanged (target outside .opencode does not move)	unchanged (target outside .opencode does not move)	both-lanes	
.cursor	.cursor/agents/design.md	../../.claude/agents/design.md	relative	no	no	generated — sync-runtime-mirrors.cjs tree `cursor-agents`, canonical source `.claude/agents	none	unchanged (target outside .opencode does not move)	unchanged (target outside .opencode does not move)	both-lanes	
.cursor	.cursor/agents/markdown.md	../../.claude/agents/markdown.md	relative	no	no	generated — sync-runtime-mirrors.cjs tree `cursor-agents`, canonical source `.claude/agents	none	unchanged (target outside .opencode does not move)	unchanged (target outside .opencode does not move)	both-lanes	
.cursor	.cursor/agents/orchestrate.md	../../.claude/agents/orchestrate.md	relative	no	no	generated — sync-runtime-mirrors.cjs tree `cursor-agents`, canonical source `.claude/agents	none	unchanged (target outside .opencode does not move)	unchanged (target outside .opencode does not move)	both-lanes	
.cursor	.cursor/agents/prompt-improver.md	../../.claude/agents/prompt-improver.md	relative	no	no	generated — sync-runtime-mirrors.cjs tree `cursor-agents`, canonical source `.claude/agents	none	unchanged (target outside .opencode does not move)	unchanged (target outside .opencode does not move)	both-lanes	
.cursor	.cursor/agents/review.md	../../.claude/agents/review.md	relative	no	no	generated — sync-runtime-mirrors.cjs tree `cursor-agents`, canonical source `.claude/agents	none	unchanged (target outside .opencode does not move)	unchanged (target outside .opencode does not move)	both-lanes	
.cursor	.cursor/commands/agent-router.md	../../.opencode/commands/agent-router.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `cursor-commands`, flat names	regenerate	../../.opencode/commands/agent-router.md	../../.skilled/commands/agent-router.md	both-lanes	
.cursor	.cursor/commands/create-agent.md	../../.opencode/commands/create/agent.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `cursor-commands`, flat names	regenerate	../../.opencode/commands/create/agent.md	../../.skilled/commands/create/agent.md	both-lanes	
