area	path	hit_lines	what_it_is	origin	needed_change	class	class_basis	note
runtime:codex	.codex/prompts/agent-router.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:codex	.codex/prompts/create-agent.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:codex	.codex/prompts/create-benchmark.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:codex	.codex/prompts/create-changelog.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:codex	.codex/prompts/create-command.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:codex	.codex/prompts/create-diff.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:codex	.codex/prompts/create-feature-catalog.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:codex	.codex/prompts/create-manual-testing-playbook.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:codex	.codex/prompts/create-readme.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:codex	.codex/prompts/create-repo-rule.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:codex	.codex/prompts/create-skill-parent.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:codex	.codex/prompts/create-skill.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:codex	.codex/prompts/create-with-human-voice.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:codex	.codex/prompts/deep-agent-improvement.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:codex	.codex/prompts/deep-ai-council.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:codex	.codex/prompts/deep-model-benchmark.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:codex	.codex/prompts/deep-research.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:codex	.codex/prompts/deep-review.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:codex	.codex/prompts/design-chart.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:codex	.codex/prompts/design-diagram.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:codex	.codex/prompts/design-extract.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:codex	.codex/prompts/doctor-mcp.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:codex	.codex/prompts/doctor-speckit.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:codex	.codex/prompts/doctor-update.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:codex	.codex/prompts/prompt-improve.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:codex	.codex/prompts/rewrite-response-by-external-agent.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:codex	.codex/prompts/rewrite-response.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:codex	.codex/prompts/speckit-complete.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:codex	.codex/prompts/speckit-implement.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:codex	.codex/prompts/speckit-plan.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:codex	.codex/prompts/speckit-resume.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:codex	.codex/prompts/speckit-save.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:codex	.codex/prompts/speckit-search.md	2	generated pointer stub naming the canonical `.opencode/commands` file	generated — `sync-prompts.cjs	regenerate from `.skilled/commands` (or compat)	regenerate	both-lanes	
runtime:cursor	.cursor/SYNC.md	12	documents the runtime's derivation contract	authored	rewrite: the manifest describes `.opencode`-as-source; post-move it must describe `.skilled` as source and `.opencode` as consumer	manual	both-lanes	
runtime:cursor	.cursor/commands/goal-cursor.md	2	hand-authored native command; embeds an executable `.opencode` path	authored (exempt from prompt generators per `command-scope.cjs`)	mechanical rewrite of the embedded command	mechanical	both-lanes	
runtime:cursor	.cursor/commands/vision.md	1	hand-authored native command; embeds an executable `.opencode` path	authored (exempt from prompt generators per `command-scope.cjs`)	mechanical rewrite of the embedded command	mechanical	both-lanes	
runtime:cursor	.cursor/hooks.json	18	registers runtime hooks — `.opencode` refs are generated command strings	generated — `sync-hook-registrations.cjs` from `hook-registry.json	regenerate after registry `script` paths change (or compat)	regenerate	both-lanes	
runtime:cursor	.cursor/hooks/README.md	6	documents the mirror surface	authored	mechanical rewrite of prose refs	mechanical	both-lanes	
runtime:cursor	.cursor/mcp.json	1	registers the code_mode MCP server — `args`/`command` execs `.opencode/bin/mcp-code-mode-launcher.cjs	authored	point the launcher arg at `.skilled/bin/mcp-code-mode-launcher.cjs` (or compat)	mechanical	both-lanes	
runtime:cursor	.cursor/rules/skill-routing.md	10	routing rules + generated Gate-1 pointer block	authored + generated block — `sync-gate1-pointers.cjs	rewrite authored refs (:9-16 list `.opencode/skills/*/SKILL.md`); regenerate the Gate-1 block	regenerate	rule:generated	rebuilt by sync-gate1-pointers.cjs
runtime:devin	.devin/SYNC.md	12	documents the runtime's derivation contract	authored	rewrite: the manifest describes `.opencode`-as-source; post-move it must describe `.skilled` as source and `.opencode` as consumer	manual	both-lanes	
runtime:devin	.devin/hooks.v1.json	23	registers runtime hooks — `.opencode` refs are generated command strings	generated — `sync-hook-registrations.cjs` from `hook-registry.json	regenerate after registry `script` paths change (or compat)	regenerate	both-lanes	
runtime:devin	.devin/hooks/README.md	5	documents the mirror surface	authored	mechanical rewrite of prose refs	mechanical	both-lanes	
runtime:devin	.devin/mcp_config.json	1	registers the code_mode MCP server — `args`/`command` execs `.opencode/bin/mcp-code-mode-launcher.cjs	authored	point the launcher arg at `.skilled/bin/mcp-code-mode-launcher.cjs` (or compat)	mechanical	both-lanes	
runtime:hermes	.hermes/SYNC.md	14	documents the runtime's derivation contract	authored	rewrite: the manifest describes `.opencode`-as-source; post-move it must describe `.skilled` as source and `.opencode` as consumer	manual	both-lanes	
runtime:hermes	.hermes/plugins/repo-guards/__init__.py	18	plugin bridge — hardcodes `REPO_ROOT / '.opencode' / ...` path constants for every guard core it shells to	authored code	rewrite the path constants (or rely on compat `.opencode`)	mechanical	both-lanes	
runtime:hermes	.hermes/prompts/agent-router.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/prompts/create-agent.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/prompts/create-benchmark.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/prompts/create-changelog.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/prompts/create-command.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/prompts/create-diff.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/prompts/create-feature-catalog.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/prompts/create-manual-testing-playbook.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/prompts/create-readme.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/prompts/create-repo-rule.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/prompts/create-skill-parent.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/prompts/create-skill.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/prompts/create-with-human-voice.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/prompts/deep-agent-improvement.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/prompts/deep-ai-council.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/prompts/deep-model-benchmark.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/prompts/deep-research.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/prompts/deep-review.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/prompts/design-chart.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/prompts/design-diagram.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/prompts/design-extract.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/prompts/doctor-mcp.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/prompts/doctor-speckit.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/prompts/doctor-update.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/prompts/prompt-improve.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/prompts/rewrite-response-by-external-agent.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/prompts/rewrite-response.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/prompts/speckit-complete.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/prompts/speckit-implement.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/prompts/speckit-plan.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/prompts/speckit-resume.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/prompts/speckit-save.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/prompts/speckit-search.md	2	generated prompt template naming the canonical `.opencode/commands` file	generated — `sync-prompts-hermes.cjs	regenerate (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/skills/agent-ai-council/SKILL.md	21	generated markdown-only skill copy; `.opencode` refs name the canonical dir for references/assets/scripts	generated — `sync-skills-hermes.cjs	regenerate from `.skilled/skills` (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/skills/agent-code/SKILL.md	14	generated markdown-only skill copy; `.opencode` refs name the canonical dir for references/assets/scripts	generated — `sync-skills-hermes.cjs	regenerate from `.skilled/skills` (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/skills/agent-context/SKILL.md	9	generated markdown-only skill copy; `.opencode` refs name the canonical dir for references/assets/scripts	generated — `sync-skills-hermes.cjs	regenerate from `.skilled/skills` (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/skills/agent-debug/SKILL.md	6	generated markdown-only skill copy; `.opencode` refs name the canonical dir for references/assets/scripts	generated — `sync-skills-hermes.cjs	regenerate from `.skilled/skills` (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/skills/agent-deep-improvement/SKILL.md	7	generated markdown-only skill copy; `.opencode` refs name the canonical dir for references/assets/scripts	generated — `sync-skills-hermes.cjs	regenerate from `.skilled/skills` (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/skills/agent-deep-research/SKILL.md	8	generated markdown-only skill copy; `.opencode` refs name the canonical dir for references/assets/scripts	generated — `sync-skills-hermes.cjs	regenerate from `.skilled/skills` (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/skills/agent-deep-review/SKILL.md	16	generated markdown-only skill copy; `.opencode` refs name the canonical dir for references/assets/scripts	generated — `sync-skills-hermes.cjs	regenerate from `.skilled/skills` (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/skills/agent-design/SKILL.md	14	generated markdown-only skill copy; `.opencode` refs name the canonical dir for references/assets/scripts	generated — `sync-skills-hermes.cjs	regenerate from `.skilled/skills` (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/skills/agent-markdown/SKILL.md	24	generated markdown-only skill copy; `.opencode` refs name the canonical dir for references/assets/scripts	generated — `sync-skills-hermes.cjs	regenerate from `.skilled/skills` (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/skills/agent-orchestrate/SKILL.md	28	generated markdown-only skill copy; `.opencode` refs name the canonical dir for references/assets/scripts	generated — `sync-skills-hermes.cjs	regenerate from `.skilled/skills` (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/skills/agent-prompt-improver/SKILL.md	9	generated markdown-only skill copy; `.opencode` refs name the canonical dir for references/assets/scripts	generated — `sync-skills-hermes.cjs	regenerate from `.skilled/skills` (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/skills/agent-review/SKILL.md	7	generated markdown-only skill copy; `.opencode` refs name the canonical dir for references/assets/scripts	generated — `sync-skills-hermes.cjs	regenerate from `.skilled/skills` (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/skills/cli-claude-code/SKILL.md	4	generated markdown-only skill copy; `.opencode` refs name the canonical dir for references/assets/scripts	generated — `sync-skills-hermes.cjs	regenerate from `.skilled/skills` (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/skills/cli-codex/SKILL.md	4	generated markdown-only skill copy; `.opencode` refs name the canonical dir for references/assets/scripts	generated — `sync-skills-hermes.cjs	regenerate from `.skilled/skills` (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/skills/cli-cursor/SKILL.md	6	generated markdown-only skill copy; `.opencode` refs name the canonical dir for references/assets/scripts	generated — `sync-skills-hermes.cjs	regenerate from `.skilled/skills` (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/skills/cli-devin/SKILL.md	16	generated markdown-only skill copy; `.opencode` refs name the canonical dir for references/assets/scripts	generated — `sync-skills-hermes.cjs	regenerate from `.skilled/skills` (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/skills/cli-external-orchestration/SKILL.md	2	generated markdown-only skill copy; `.opencode` refs name the canonical dir for references/assets/scripts	generated — `sync-skills-hermes.cjs	regenerate from `.skilled/skills` (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/skills/cli-hermes/SKILL.md	1	generated markdown-only skill copy; `.opencode` refs name the canonical dir for references/assets/scripts	generated — `sync-skills-hermes.cjs	regenerate from `.skilled/skills` (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/skills/cli-opencode/SKILL.md	11	generated markdown-only skill copy; `.opencode` refs name the canonical dir for references/assets/scripts	generated — `sync-skills-hermes.cjs	regenerate from `.skilled/skills` (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/skills/cli-pi/SKILL.md	1	generated markdown-only skill copy; `.opencode` refs name the canonical dir for references/assets/scripts	generated — `sync-skills-hermes.cjs	regenerate from `.skilled/skills` (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/skills/deep-ai-council/SKILL.md	5	generated markdown-only skill copy; `.opencode` refs name the canonical dir for references/assets/scripts	generated — `sync-skills-hermes.cjs	regenerate from `.skilled/skills` (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/skills/deep-improvement/SKILL.md	4	generated markdown-only skill copy; `.opencode` refs name the canonical dir for references/assets/scripts	generated — `sync-skills-hermes.cjs	regenerate from `.skilled/skills` (or compat)	regenerate	both-lanes	
runtime:hermes	.hermes/skills/deep-research/SKILL.md	3	generated markdown-only skill copy; `.opencode` refs name the canonical dir for references/assets/scripts	generated — `sync-skills-hermes.cjs	regenerate from `.skilled/skills` (or compat)	regenerate	both-lanes	
