
PRIOR ITERATIONS FINDINGS (avoid duplicate flags — these are already covered):

--- iteration-001.md ---
| L-001-001 | P1 | correctness | .opencode/skills/system-spec-kit/shared/embeddings/profile.ts:147 | "return 'hf-local';" | confirmed-residue | Align `resolveActiveProfileProvider()` with the canonical resolver by including the llama-cpp availability step before hf-local, or delegate active profile creation to `getStartupEmbeddingProfile()`. |

--- iteration-002.md ---
| L-002-001 | P1 | traceability | PUBLIC_RELEASE.md:25 | "context-index.sqlite" | confirmed-residue | Replace the single-file consumer-project database example with the provider-keyed active profile filename pattern, preferably naming the llama-cpp default DB when no cloud keys are set. |
| L-002-002 | P1 | traceability | .opencode/skills/system-spec-kit/mcp_server/INSTALL_GUIDE.md:113 | "\| `.opencode/skills/system-spec-kit/mcp_server/database/context-index.sqlite` \| Default repo-local memory database used by the checked-in configs \|" | confirmed-residue | Rewrite the install guide's runtime-path section to say configs point at `SPEC_KIT_DB_DIR` and runtime derives `context-index__<provider>__<safe-model>__<dim>__<dtype>.sqlite`; sweep the repeated sqlite inspection and backup snippets in the same file. |
| L-002-003 | P1 | traceability | .opencode/skills/system-spec-kit/mcp_server/INSTALL_GUIDE.md:116 | "local fallback stays on `context-index.sqlite`, while Voyage and OpenAI profiles get their own profile-specific filenames" | confirmed-residue | Remove the special-case claim that local fallback stays on the legacy filename; all Memory MCP embedding profiles should be documented as provider-keyed filenames. |
| L-002-004 | P1 | traceability | .opencode/skills/system-spec-kit/mcp_server/INSTALL_GUIDE.md:212 | "- `onnxruntime-common` (ONNX model runtime)" | confirmed-residue | Update the current dependency list after the ONNX runtime package removal; keep hf-local EmbeddingGemma documentation, but do not claim `onnxruntime-common` is installed directly. |
| L-002-005 | P1 | traceability | .opencode/skills/system-spec-kit/references/memory/memory_system.md:25 | "\| Database \| `mcp_server/dist/database/context-index.sqlite` \| SQLite with FTS5 + vector embeddings (canonical runtime path; `mcp_server/database/context-index.sqlite` is a compatibility symlink) \|" | confirmed-residue | Replace the canonical database row with the active-profile DB path contract and mention compatibility only as historical/legacy behavior if still needed. |
| L-002-006 | P1 | traceability | .opencode/skills/system-spec-kit/manual_testing_playbook/23--doctor-commands/323-doctor-memory-fresh-install.md:10 | "bootstrap the active hf-local default profile database, `mcp_server/database/context-index__hf-local__onnx-community_embeddinggemma-300m-onnx__768__q8.sqlite`" | confirmed-residue | Rebase the fresh-install doctor scenario on the canonical auto resolver: cloud keys first, otherwise llama-cpp when GGUF runtime is installed, with hf-local only as fallback. |
| L-002-007 | P1 | traceability | .opencode/skills/system-spec-kit/manual_testing_playbook/23--doctor-commands/324-doctor-memory-drift-detection.md:39 | "such as `.opencode/skills/system-spec-kit/mcp_server/database/context-index__hf-local__onnx-community_embeddinggemma-300m-onnx__768__q8.sqlite` for the hf-local default." | confirmed-residue | Change the example default database to the llama-cpp profile DB, or phrase hf-local as an explicit fallback/override scenario. |
| L-002-008 | P1 | traceability | .opencode/skills/system-spec-kit/manual_testing_playbook/23--doctor-commands/325-doctor-memory-long-pole-rebuild.md:39 | "Use a disposable workspace with a populated active hf-local default profile database and vector DB." | confirmed-residue | Update the long-pole rebuild scenario to use the active resolved profile DB instead of assuming hf-local is the default profile. |
| L-002-009 | P1 | traceability | .opencode/skills/system-spec-kit/manual_testing_playbook/23--doctor-commands/327-doctor-memory-disk-pressure.md:43 | "free space is less than `2 * (active hf-local default profile DB bytes + vector DB bytes)`" | confirmed-residue | Make the disk-pressure precondition compute against the active resolved profile DB; keep Voyage as a cloud-key branch, but add llama-cpp as the no-cloud-key default. |
| L-002-010 | P2 | traceability | .opencode/skills/system-spec-kit/feature_catalog/16--tooling-and-scripts/29-setup-native-module-health-and-mcp-installation.md:32 | "attempts to load `better-sqlite3` plus optional `onnxruntime-node` and `sharp` installs" | confirmed-residue | Refresh the feature catalog to match the post-022 native-module health surface; remove the rejected `onnxruntime-node` probe from current behavior docs unless the code still intentionally probes it. |

--- iteration-003.md ---
| L-003-001 | P1 | maintainability | .codex/config.toml:16 | "e.g., context-index__hf-local__onnx-community_embeddinggemma-300m-onnx__768__q8.sqlite" | confirmed-residue | Update the Codex config comment to use the llama-cpp default DB example, or phrase the hf-local filename strictly as fallback/override. |
| L-003-002 | P1 | maintainability | .codex/config.toml:17 | "for the Setup A default since 014/012" | confirmed-residue | Remove the stale Setup A default claim; post-014 no-cloud-key default is llama-cpp when GGUF runtime is installed. |
| L-003-003 | P2 | maintainability | .opencode/commands/doctor/update.md:213 | "`mcp_server/database/context-index.sqlite`" | confirmed-residue | Refresh the `/doctor:update` subsystem contract so memory DB examples use the active provider-keyed profile path instead of the legacy singleton filename. |
| L-003-004 | P2 | maintainability | .opencode/commands/doctor/update.md:268 | "`mcp_server/database/context-index.sqlite` and `mcp_server/database/context-index.sqlite.pre-doctor-update.*.bak`" | confirmed-residue | Update the allowed-target example to describe provider-keyed memory DBs and their matching backup pattern. |
| L-003-005 | P2 | maintainability | .opencode/commands/doctor/assets/doctor_update.yaml:102 | "- \"mcp_server/database/context-index.sqlite\"  # memory FTS/metadata DB" | confirmed-residue | Replace the hardcoded update workflow target with active-profile DB resolution language or a provider-keyed glob constrained by the canonical resolver. |
| L-003-006 | P2 | maintainability | .opencode/commands/doctor/assets/doctor_update.yaml:416 | "const db = new Database('.opencode/skills/system-spec-kit/mcp_server/database/context-index.sqlite');" | confirmed-residue | Make the embedded count snippet resolve the active profile DB before opening SQLite, otherwise the workflow can audit the wrong file. |
| L-003-007 | P2 | maintainability | .opencode/commands/doctor/assets/doctor_causal-graph.yaml:78 | "- \"mcp_server/database/context-index.sqlite\"  # host DB for causal_edges table" | confirmed-residue | Reword the causal-graph mutation boundary around the active memory DB path instead of the legacy singleton filename. |
| L-003-008 | P2 | maintainability | .opencode/commands/doctor/assets/doctor_causal-graph.yaml:174 | "context-index.sqlite missing -> STATUS=MISSING with recommendation to run /doctor memory" | confirmed-residue | Change the missing-DB halt condition to check the active resolved profile DB, not `context-index.sqlite`. |
| L-003-009 | P2 | maintainability | .opencode/skills/system-spec-kit/scripts/tests/fixtures/manual-playbook-fixture.ts:609 | "MEMORY_DB_PATH points directly to the active hf-local default profile database" | confirmed-residue | Rebase the manual playbook fixture text on the canonical active profile, with hf-local described only as fallback. |
| L-003-010 | P2 | maintainability | .opencode/skills/system-spec-kit/scripts/tests/fixtures/manual-playbook-fixture.js:380 | "MEMORY_DB_PATH points directly to context-index.sqlite for disposable fixtures." | confirmed-residue | Keep the disposable fixture DB if tests need it, but update the generated fixture prose so it does not teach the legacy singleton DB as the memory path. |

--- iteration-004.md ---
| L-004-001 | P1 | correctness | .gemini/scripts/spec-kit-memory.sh:11 | "EMBEDDINGS_PROVIDER   - auto \| voyage \| openai \| hf-local (default: auto)" | confirmed-residue | Add `llama-cpp` to the launcher contract so Gemini users see the canonical provider set. |
| L-004-002 | P1 | correctness | .gemini/scripts/spec-kit-memory.sh:32 | "DEFAULT_DB_PATH=\"${REPO_ROOT}/.opencode/skills/system-spec-kit/mcp_server/database/context-index.sqlite\"" | confirmed-residue | Stop defaulting `MEMORY_DB_PATH` to the singleton sqlite file; let the server derive the provider-keyed DB from `SPEC_KIT_DB_DIR` or the active profile. |
| L-004-003 | P1 | correctness | .gemini/scripts/spec-kit-memory.sh:33 | "HF_LOCAL_DB_PATH=\"${REPO_ROOT}/.opencode/skills/system-spec-kit/mcp_server/database/context-index__hf-local__nomic-ai_nomic-embed-text-v1.5__768.sqlite\"" | confirmed-residue | Remove the stale nomic hf-local path or replace it with the current EmbeddingGemma q8 fallback only for explicit hf-local fallback scenarios. |
| L-004-004 | P1 | correctness | .gemini/scripts/spec-kit-memory.sh:50 | "Fall back to HF-local database when no API keys are available" | confirmed-residue | Change the no-cloud-key branch to respect the canonical llama-cpp-when-installed default before hf-local fallback. |
| L-004-005 | P1 | correctness | .gemini/scripts/spec-kit-memory.sh:53 | "auto\|hf-local)" | confirmed-residue | Do not route `auto` through the hf-local DB override; reserve hf-local path pinning for explicit `EMBEDDINGS_PROVIDER=hf-local` if any override remains. |
| L-004-006 | P1 | correctness | .opencode/commands/doctor/scripts/mcp-doctor.sh:200 | "local db_file=\"$db_dir/context-index.sqlite\"" | confirmed-residue | Resolve the active provider profile DB for the database health check instead of checking only the legacy singleton filename. |
| L-004-007 | P1 | correctness | .opencode/commands/doctor/assets/doctor_memory.yaml:22 | "Memory doctor workflows treat context-index.sqlite and the voyage vector DB as" | confirmed-residue | Rewrite the memory doctor invariant around active provider-keyed profile DBs, including llama-cpp and OpenAI profiles. |
| L-004-008 | P1 | correctness | .opencode/commands/doctor/assets/doctor_memory.yaml:64 | "- \"mcp_server/database/context-index.sqlite\"  # primary memory FTS/metadata DB" | confirmed-residue | Replace the fixed allowed target with canonical active-profile DB resolution or a constrained provider-keyed target set. |
| L-004-009 | P1 | correctness | .opencode/commands/doctor/assets/doctor_memory.yaml:145 | "- \"Bash: stat -f '%m %z' database/context-index.sqlite (mtime + size)\"" | confirmed-residue | Make Phase 0 discovery stat the active resolved profile DB rather than the legacy singleton file. |
